Rank,Dutch,Frequency,CUMSUM,CUM%,GTInfo,Translation
174,binnen,136920,129267569,79.25801101447718,"Translated(src=nl, dest=en, text=inside, pronunciation=inside, extra_data=""{'translat..."")","adverb: within, in.  preposition: within, inside.  adjective: inlying.  "
175,staat,135644,129403213,79.34117861582696,"Translated(src=nl, dest=en, text=state, pronunciation=state, extra_data=""{'translat..."")","noun: state, condition.  "
176,wilde,134996,129538209,79.42394890800217,"Translated(src=nl, dest=en, text=Savage, pronunciation=Savage, extra_data=""{'translat..."")","noun: savage, freelance.  "
177,zich,134601,129672810,79.50647701325771,"Translated(src=nl, dest=en, text=himself, pronunciation=himself, extra_data=""{'translat..."")","pronoun: himself, itself.  "
178,beter,134537,129807347,79.58896587810095,"Translated(src=nl, dest=en, text=better, pronunciation=better, extra_data=""{'translat..."")","adverb: better, superiorly.  adjective: superior.  noun: bettor.  prefix: out-.  "
179,werk,134446,129941793,79.67139894798295,"Translated(src=nl, dest=en, text=work, pronunciation=work, extra_data=""{'translat..."")","noun: work, job.  adjective: ferial.  "
180,praten,132705,130074498,79.75276455602402,"Translated(src=nl, dest=en, text=to talk, pronunciation=to talk, extra_data=""{'translat..."")","verb: talk, speak.  "
181,gezien,131006,130205504,79.83308845374474,"Translated(src=nl, dest=en, text=seen, pronunciation=seen, extra_data=""{'translat..."")","adjective: respected, dear.  "
182,zullen,130862,130336366,79.91332406053779,"Translated(src=nl, dest=en, text=shall, pronunciation=shall, extra_data=""{'translat..."")","verb: will, shall.  "
183,waren,129549,130465915,79.99275462574718,"Translated(src=nl, dest=en, text=goods, pronunciation=goods, extra_data=""{'translat..."")","noun: vendibles, goods and chattels.  "
184,god,128800,130594715,80.07172595550634,"Translated(src=nl, dest=en, text=God, pronunciation=God, extra_data=""{'translat..."")",noun: god.  
185,maak,128702,130723417,80.15063719838417,"Translated(src=nl, dest=en, text=make, pronunciation=make, extra_data=""{'translat..."")",noun: making.  
186,neem,128506,130851923,80.22942826749932,"Translated(src=nl, dest=en, text=take, pronunciation=take, extra_data=""{'translat..."")","verb: take, reach.  "
187,vinden,127950,130979873,80.30787843553259,"Translated(src=nl, dest=en, text=find, pronunciation=find, extra_data=""{'translat..."")","verb: find, think of.  "
188,vind,127521,131107394,80.38606557017714,"Translated(src=nl, dest=en, text=find, pronunciation=find, extra_data=""{'translat..."")","verb: find, think of.  "
189,moeder,124814,131232208,80.46259295800758,"Translated(src=nl, dest=en, text=mother, pronunciation=mother, extra_data=""{'translat..."")","noun: mother, parent.  "
190,kon,123381,131355589,80.53824172848131,"Translated(src=nl, dest=en, text=could, pronunciation=could, extra_data=""{'translat..."")",verb: could.  
191,uur,122231,131477820,80.61318539779647,"Translated(src=nl, dest=en, text=hour, pronunciation=hour, extra_data=""{'translat..."")",noun: hour.  
192,klaar,122212,131600032,80.68811741761422,"Translated(src=nl, dest=en, text=finished, pronunciation=finished, extra_data=""{'translat..."")","adjective: ready, finished.  adverb: clear, clearly.  noun: clear.  "
193,genoeg,120215,131720247,80.76182501394184,"Translated(src=nl, dest=en, text=enough, pronunciation=enough, extra_data=""{'translat..."")","adjective: enough, sufficient.  adverb: enough, sufficiently.  "
194,helpen,119301,131839548,80.83497220813128,"Translated(src=nl, dest=en, text=help out, pronunciation=help out, extra_data=""{'translat..."")","verb: help, assist.  phrase: lend a hand, give a leg.  "
195,oh,119077,131958625,80.90798206087764,"Translated(src=nl, dest=en, text=Oh, pronunciation=Oh, extra_data=""{'translat..."")","interjection: Oh!, Ah!.  "
196,hele,118678,132077303,80.98074727417855,"Translated(src=nl, dest=en, text=whole, pronunciation=whole, extra_data=""{'translat..."")","adjective: very, whole.  "
197,drie,117145,132194448,81.05257255697855,"Translated(src=nl, dest=en, text=three, pronunciation=three, extra_data=""{'translat..."")",: three.  noun: trey.  
198,vast,116765,132311213,81.12416484983048,"Translated(src=nl, dest=en, text=fixed, pronunciation=fixed, extra_data=""{'translat..."")","adjective: fixed, solid.  adverb: firmly, firm.  "
199,na,116659,132427872,81.19569215074952,"Translated(src=nl, dest=en, text=after, pronunciation=after, extra_data=""{'translat..."")","preposition: after, on.  adverb: post.  "
200,hallo,116482,132544354,81.26711092740331,"Translated(src=nl, dest=en, text=Hello, pronunciation=Hello, extra_data=""{'translat..."")","noun: hello, hallo.  "
201,leuk,116343,132660697,81.33844447878663,"Translated(src=nl, dest=en, text=nice, pronunciation=nice, extra_data=""{'translat..."")","adjective: nice, entertaining.  adverb: prettily.  "
202,sorry,116048,132776745,81.40959715639448,"Translated(src=nl, dest=en, text=Sorry, pronunciation=Sorry, extra_data=""{'translat..."")","interjection: Sorry!, I am sorry!.  "
203,alle,114830,132891575,81.4800030399057,"Translated(src=nl, dest=en, text=all, pronunciation=all, extra_data=""{'translat..."")",adjective: all.  
204,elkaar,114709,133006284,81.5503347345124,"Translated(src=nl, dest=en, text=each other, pronunciation=each other, extra_data=""{'translat..."")","adverb: each other, one another.  pronoun: each other, one another.  "
205,toe,114466,133120750,81.62051743817865,"Translated(src=nl, dest=en, text=please, pronunciation=please, extra_data=""{'translat..."")","preposition: to.  adverb: towards.  adjective: shut, closed.  "
206,wist,114289,133235039,81.69059161757963,"Translated(src=nl, dest=en, text=knew, pronunciation=knew, extra_data=""{'translat..."")","verb: know, wit.  "
207,zegt,112794,133347833,81.75974916547446,"Translated(src=nl, dest=en, text=say, pronunciation=say, extra_data=""{'translat..."")","verb: say, tell.  "
208,bedoel,111995,133459828,81.82841682134696,"Translated(src=nl, dest=en, text=mean, pronunciation=mean, extra_data=""{'translat..."")","verb: mean, intend.  "
209,blijf,111068,133570896,81.89651610437251,"Translated(src=nl, dest=en, text=stay, pronunciation=stay, extra_data=""{'translat..."")","verb: remain, stay.  "
210,alsjeblieft,110808,133681704,81.96445597322308,"Translated(src=nl, dest=en, text=please, pronunciation=please, extra_data=""{'translat..."")",interjection: Please!.  
211,lang,109815,133791519,82.03178700255152,"Translated(src=nl, dest=en, text=long, pronunciation=long, extra_data=""{'translat..."")","adjective: long, tall.  adverb: long.  "
212,meneer,109602,133901121,82.09898743488276,"Translated(src=nl, dest=en, text=sir, pronunciation=sir, extra_data=""{'translat..."")","abbreviation: Mr..  noun: mister, monsieur.  "
213,ziet,109385,134010506,82.16605481769105,"Translated(src=nl, dest=en, text=sees, pronunciation=sees, extra_data=""{'translat..."")","verb: see, view.  "
214,maakt,109295,134119801,82.23306701866952,"Translated(src=nl, dest=en, text=makes, pronunciation=makes, extra_data=""{'translat..."")","verb: make, do.  "
215,luister,108225,134228026,82.29942316900481,"Translated(src=nl, dest=en, text=listen, pronunciation=listen, extra_data=""{'translat..."")","noun: splendor, magnificence.  "
216,dingen,107800,134335826,82.36551873847716,"Translated(src=nl, dest=en, text=stuff, pronunciation=stuff, extra_data=""{'translat..."")","verb: bargain, sue.  "
217,mooi,106513,134442339,82.43082520778336,"Translated(src=nl, dest=en, text=pretty, pronunciation=pretty, extra_data=""{'translat..."")","adjective: beautiful, nice.  adverb: beautifully, fine.  "
218,werd,106486,134548825,82.4961151225406,"Translated(src=nl, dest=en, text=became, pronunciation=became, extra_data=""{'translat..."")","verb: be, become.  "
219,eerste,105965,134654790,82.56108559581646,"Translated(src=nl, dest=en, text=first, pronunciation=first, extra_data=""{'translat..."")","adjective: first, initial.  noun: first.  adverb: initially.  "
220,graag,105501,134760291,82.62577157610312,"Translated(src=nl, dest=en, text=with pleasure, pronunciation=with pleasure, extra_data=""{'translat..."")","adverb: gladly, willingly.  "
221,natuurlijk,105268,134865559,82.69031469676374,"Translated(src=nl, dest=en, text=naturally, pronunciation=naturally, extra_data=""{'translat..."")","adverb: of course, naturally.  adjective: natural, native.  "
222,houden,104006,134969565,82.75408404554426,"Translated(src=nl, dest=en, text=to keep, pronunciation=to keep, extra_data=""{'translat..."")","verb: keep, hold.  "
223,zonder,103838,135073403,82.8177503882425,"Translated(src=nl, dest=en, text=without, pronunciation=without, extra_data=""{'translat..."")","preposition: without, sans.  adverb: no.  "
224,steeds,103491,135176894,82.88120397433028,"Translated(src=nl, dest=en, text=still, pronunciation=still, extra_data=""{'translat..."")","adverb: always, ever.  adjective: town.  "
225,krijgen,102922,135279816,82.94430868862743,"Translated(src=nl, dest=en, text=to get, pronunciation=to get, extra_data=""{'translat..."")","verb: get, receive.  "
226,grote,102284,135382100,83.00702222506443,"Translated(src=nl, dest=en, text=great, pronunciation=great, extra_data=""{'translat..."")","adjective: large, great.  "
227,achter,102224,135484324,83.0696989736149,"Translated(src=nl, dest=en, text=behind, pronunciation=behind, extra_data=""{'translat..."")","adverb: behind, after.  preposition: behind, after.  adjective: hind, slow.  noun: venerator.  "
228,helemaal,101859,135586183,83.13215192918896,"Translated(src=nl, dest=en, text=all the way, pronunciation=all the way, extra_data=""{'translat..."")","adverb: all, completely.  "
229,naam,100664,135686847,83.19387219268955,"Translated(src=nl, dest=en, text=name, pronunciation=name, extra_data=""{'translat..."")","noun: name, first name.  "
230,gek,100386,135787233,83.25542200564921,"Translated(src=nl, dest=en, text=crazy, pronunciation=crazy, extra_data=""{'translat..."")","adjective: crazy, mad.  noun: fool, madman.  adverb: foolishly, queerly.  phrase: off one's head, off one's nuts.  "
231,blijven,100084,135887317,83.31678665291332,"Translated(src=nl, dest=en, text=stay, pronunciation=stay, extra_data=""{'translat..."")","verb: remain, stay.  "
232,onder,99913,135987230,83.3780464547008,"Translated(src=nl, dest=en, text=below, pronunciation=below, extra_data=""{'translat..."")","adverb: under, below.  preposition: under, among.  adjective: lower, vice.  conjunction: whilst.  "
233,vriend,99666,136086896,83.43915481302204,"Translated(src=nl, dest=en, text=friend, pronunciation=friend, extra_data=""{'translat..."")","noun: friend, pal.  "
234,geweest,98850,136185746,83.49976285608643,"Translated(src=nl, dest=en, text=been, pronunciation=been, extra_data=""{'translat..."")",been
235,kijken,98710,136284456,83.56028506074891,"Translated(src=nl, dest=en, text=to look, pronunciation=to look, extra_data=""{'translat..."")","verb: look, see.  "
236,geven,98686,136383142,83.62079255025678,"Translated(src=nl, dest=en, text=to give, pronunciation=to give, extra_data=""{'translat..."")","verb: give, deliver.  "
237,ging,98129,136481271,83.68095852555132,"Translated(src=nl, dest=en, text=went, pronunciation=went, extra_data=""{'translat..."")","verb: go, proceed.  "
238,vertellen,97831,136579102,83.74094178767608,"Translated(src=nl, dest=en, text=narrate, pronunciation=narrate, extra_data=""{'translat..."")","verb: tell, relate.  "
239,ooit,95370,136674472,83.79941613332151,"Translated(src=nl, dest=en, text=ever, pronunciation=ever, extra_data=""{'translat..."")","adverb: ever, sometime.  "
240,snel,94773,136769245,83.85752443949593,"Translated(src=nl, dest=en, text=fast, pronunciation=fast, extra_data=""{'translat..."")","adverb: quickly, fast.  adjective: quick, fast.  "
241,hand,94597,136863842,83.91552483453653,"Translated(src=nl, dest=en, text=hand, pronunciation=hand, extra_data=""{'translat..."")","noun: hand, mitt.  "
242,idee,94437,136958279,83.97342712854635,"Translated(src=nl, dest=en, text=idea, pronunciation=idea, extra_data=""{'translat..."")","noun: idea, notion.  "
243,goede,94154,137052433,84.03115590635804,"Translated(src=nl, dest=en, text=good  , pronunciation=good  , extra_data=""{'translat..."")",noun: well.  
244,auto,93713,137146146,84.08861429320369,"Translated(src=nl, dest=en, text=car, pronunciation=car, extra_data=""{'translat..."")","adjective: auto.  noun: car, automobile.  "
245,kwam,93681,137239827,84.1460530598432,"Translated(src=nl, dest=en, text=came, pronunciation=came, extra_data=""{'translat..."")","verb: come, get.  "
246,verdomme,93629,137333456,84.2034599436477,"Translated(src=nl, dest=en, text=damn, pronunciation=damn, extra_data=""{'translat..."")",interjection: Blast it!.  
247,beetje,91002,137424458,84.25925613115348,"Translated(src=nl, dest=en, text=bit, pronunciation=bit, extra_data=""{'translat..."")","noun: bit, little.  adjective: little.  "
248,moest,90319,137514777,84.3146335498842,"Translated(src=nl, dest=en, text=had to, pronunciation=had to, extra_data=""{'translat..."")",verb: must.  
249,kinderen,90129,137604906,84.36989447364091,"Translated(src=nl, dest=en, text=children, pronunciation=children, extra_data=""{'translat..."")","noun: children, kids.  "
250,wanneer,89911,137694817,84.42502173474321,"Translated(src=nl, dest=en, text=when, pronunciation=when, extra_data=""{'translat..."")","adverb: when.  conjunction: when, if.  "
251,gebeurd,89505,137784322,84.47990006447998,"Translated(src=nl, dest=en, text=happened, pronunciation=happened, extra_data=""{'translat..."")","verb: happen, be.  "
252,jongen,89239,137873561,84.5346153012531,"Translated(src=nl, dest=en, text=boy, pronunciation=boy, extra_data=""{'translat..."")","noun: boy, lad.  verb: breed, kitten.  "
253,bang,87846,137961407,84.58847644592718,"Translated(src=nl, dest=en, text=anxious, pronunciation=anxious, extra_data=""{'translat..."")","adjective: afraid, scared.  adverb: anxiously.  "
254,vraag,87796,138049203,84.64230693402918,"Translated(src=nl, dest=en, text=ask, pronunciation=ask, extra_data=""{'translat..."")","noun: question, demand.  "
255,lijkt,87783,138136986,84.69612945142241,"Translated(src=nl, dest=en, text=seems, pronunciation=seems, extra_data=""{'translat..."")","verb: seem, appear.  "
256,geweldig,87705,138224691,84.74990414456316,"Translated(src=nl, dest=en, text=awesome, pronunciation=awesome, extra_data=""{'translat..."")","adjective: immense, violent.  adverb: mightily, vastly.  "
257,paar,87664,138312355,84.80365369931476,"Translated(src=nl, dest=en, text=couple, pronunciation=couple, extra_data=""{'translat..."")","noun: couple, pair.  "
258,hoor,87503,138399858,84.85730453990418,"Translated(src=nl, dest=en, text=hear, pronunciation=hear, extra_data=""{'translat..."")","verb: hear, belong.  "
259,laatste,87460,138487318,84.91092901584157,"Translated(src=nl, dest=en, text=last, pronunciation=last, extra_data=""{'translat..."")",noun: last.  
260,deed,87439,138574757,84.96454061601868,"Translated(src=nl, dest=en, text=did, pronunciation=did, extra_data=""{'translat..."")","verb: do, make.  "
261,nieuwe,87384,138662141,85.01811849396647,"Translated(src=nl, dest=en, text=new ones, pronunciation=new ones, extra_data=""{'translat..."")","adjective: new, novel.  "
262,vragen,87319,138749460,85.07165651837052,"Translated(src=nl, dest=en, text=to ask, pronunciation=to ask, extra_data=""{'translat..."")","verb: ask, question.  noun: enquiry.  "
263,kun,86117,138835577,85.12445755878099,"Translated(src=nl, dest=en, text=can, pronunciation=can, extra_data=""{'translat..."")",can
264,zag,85611,138921188,85.17694835468171,"Translated(src=nl, dest=en, text=saw, pronunciation=saw, extra_data=""{'translat..."")","verb: see, view.  "
265,zorgen,84952,139006140,85.229035096962,"Translated(src=nl, dest=en, text=to care, pronunciation=to care, extra_data=""{'translat..."")","verb: care, worry.  "
266,staan,84389,139090529,85.2807766462403,"Translated(src=nl, dest=en, text=stand, pronunciation=stand, extra_data=""{'translat..."")","verb: stand, be.  "
267,wereld,83597,139174126,85.33203259541636,"Translated(src=nl, dest=en, text=world, pronunciation=world, extra_data=""{'translat..."")","noun: world, universe.  "
268,eten,83486,139257612,85.38322048700233,"Translated(src=nl, dest=en, text=to eat, pronunciation=to eat, extra_data=""{'translat..."")","verb: food, eat.  noun: grub, peck.  "
269,jongens,83194,139340806,85.43422934420718,"Translated(src=nl, dest=en, text=guys, pronunciation=guys, extra_data=""{'translat..."")",adjective: boyish.  
270,enige,82779,139423585,85.48498375186351,"Translated(src=nl, dest=en, text=any, pronunciation=any, extra_data=""{'translat..."")",adjective: some.  pronoun: some.  adverb: a few.  
271,zelf,82161,139505746,85.53535924428853,"Translated(src=nl, dest=en, text=yourself, pronunciation=yourself, extra_data=""{'translat..."")","pronoun: itself, self.  "
272,want,81819,139587565,85.5855250457603,"Translated(src=nl, dest=en, text=because, pronunciation=because, extra_data=""{'translat..."")","conjunction: because, for.  noun: mitten, shrouds.  "
273,nemen,80223,139667788,85.63471228945028,"Translated(src=nl, dest=en, text=to take, pronunciation=to take, extra_data=""{'translat..."")","verb: take, reach.  "
274,heen,80006,139747794,85.6837664836173,"Translated(src=nl, dest=en, text=to, pronunciation=to, extra_data=""{'translat..."")",adverb: away.  
275,zo'n,80002,139827796,85.73281822525855,"Translated(src=nl, dest=en, text=Sun, pronunciation=Sun, extra_data=""{'translat..."")","noun: sun, daystar.  "
276,beste,79491,139907287,85.78155665673282,"Translated(src=nl, dest=en, text=Best, pronunciation=Best, extra_data=""{'translat..."")",Best
277,ken,79485,139986772,85.83029140941844,"Translated(src=nl, dest=en, text=know, pronunciation=know, extra_data=""{'translat..."")",verb: know.  
278,vandaag,79049,140065821,85.87875883679524,"Translated(src=nl, dest=en, text=Today, pronunciation=Today, extra_data=""{'translat..."")",adverb: today.  
279,zelfs,78653,140144474,85.92698346412092,"Translated(src=nl, dest=en, text=even, pronunciation=even, extra_data=""{'translat..."")",adverb: even.  
280,ie,77676,140222150,85.97460906202754,"Translated(src=nl, dest=en, text=ie, pronunciation=ie, extra_data=""{'translat..."")",ie
281,gezegd,77384,140299534,86.02205562555304,"Translated(src=nl, dest=en, text=said, pronunciation=said, extra_data=""{'translat..."")","verb: say, tell.  "
282,hadden,76559,140376093,86.06899635563869,"Translated(src=nl, dest=en, text=had, pronunciation=had, extra_data=""{'translat..."")","verb: have, possess.  "
283,vertel,76160,140452253,86.11569244627889,"Translated(src=nl, dest=en, text=tell, pronunciation=tell, extra_data=""{'translat..."")","verb: tell, relate.  "
284,eerst,75850,140528103,86.162198466172,"Translated(src=nl, dest=en, text=first, pronunciation=first, extra_data=""{'translat..."")","adjective: first, primary.  adverb: first, only.  : first.  conjunction: if only.  "
285,gevonden,75611,140603714,86.20855794765042,"Translated(src=nl, dest=en, text=found it, pronunciation=found it, extra_data=""{'translat..."")","verb: find, think of.  "
286,zoon,75210,140678924,86.2546715634205,"Translated(src=nl, dest=en, text=son, pronunciation=son, extra_data=""{'translat..."")",noun: son.  
287,buiten,74950,140753874,86.3006257650156,"Translated(src=nl, dest=en, text=Outside, pronunciation=Outside, extra_data=""{'translat..."")","adverb: outside, out.  preposition: outside, beyond.  noun: country.  "
288,samen,74836,140828710,86.34651006962629,"Translated(src=nl, dest=en, text=together, pronunciation=together, extra_data=""{'translat..."")",adverb: together.  
289,denken,74768,140903478,86.39235268129892,"Translated(src=nl, dest=en, text=think, pronunciation=think, extra_data=""{'translat..."")","verb: think, think of.  "
290,geloof,74702,140978180,86.43815482629634,"Translated(src=nl, dest=en, text=believe, pronunciation=believe, extra_data=""{'translat..."")","noun: faith, belief.  "
291,morgen,74153,141052333,86.48362036213199,"Translated(src=nl, dest=en, text=tomorrow, pronunciation=tomorrow, extra_data=""{'translat..."")","adverb: tomorrow, next day.  noun: morning, morn.  "
292,geleden,74090,141126423,86.52904727068677,"Translated(src=nl, dest=en, text=past, pronunciation=past, extra_data=""{'translat..."")","adverb: ago, since.  adjective: past.  "
293,meisje,73965,141200388,86.57439753781128,"Translated(src=nl, dest=en, text=girl, pronunciation=girl, extra_data=""{'translat..."")","noun: girl, maid.  "
294,thuis,73452,141273840,86.61943326850593,"Translated(src=nl, dest=en, text=At home, pronunciation=At home, extra_data=""{'translat..."")","adverb: home, in.  "
295,denkt,73451,141347291,86.66446838606913,"Translated(src=nl, dest=en, text=thinks, pronunciation=thinks, extra_data=""{'translat..."")","verb: think, think of.  "
296,rustig,73439,141420730,86.70949614605503,"Translated(src=nl, dest=en, text=Calm, pronunciation=Calm, extra_data=""{'translat..."")","adjective: quiet, tranquil.  adverb: quietly, calmly.  "
297,mannen,73358,141494088,86.7544742423941,"Translated(src=nl, dest=en, text=men, pronunciation=men, extra_data=""{'translat..."")",adjective: male.  
298,halen,73344,141567432,86.79944375489299,"Translated(src=nl, dest=en, text=to fetch , pronunciation=to fetch , extra_data=""{'translat..."")","verb: catch, fetch.  "
299,probleem,73012,141640444,86.84420970775305,"Translated(src=nl, dest=en, text=issue, pronunciation=issue, extra_data=""{'translat..."")","noun: problem, puzzler.  "
300,hen,72796,141713240,86.88884322422159,"Translated(src=nl, dest=en, text=them, pronunciation=them, extra_data=""{'translat..."")",pronoun: them.  noun: hen.  
301,stop,72195,141785435,86.93310824869336,"Translated(src=nl, dest=en, text=Stop, pronunciation=Stop, extra_data=""{'translat..."")","noun: plug, stopper.  verb: fuse.  "
302,eigen,72134,141857569,86.97733587214714,"Translated(src=nl, dest=en, text=own, pronunciation=own, extra_data=""{'translat..."")","adjective: own, specific.  pronoun: one's own.  "
303,kleine,71038,141928607,87.02089150354024,"Translated(src=nl, dest=en, text=little, pronunciation=little, extra_data=""{'translat..."")","adjective: small, little.  "
304,hoop,71017,141999624,87.06443425917305,"Translated(src=nl, dest=en, text=heap, pronunciation=heap, extra_data=""{'translat..."")","noun: hope, lot.  "
305,wou,69733,142069357,87.10718975403405,"Translated(src=nl, dest=en, text=wish, pronunciation=wish, extra_data=""{'translat..."")","verb: want, like.  "
306,vermoord,68779,142138136,87.14936032149916,"Translated(src=nl, dest=en, text=murdered, pronunciation=murdered, extra_data=""{'translat..."")","verb: murder, assassinate.  "
307,elke,68753,142206889,87.19151494754676,"Translated(src=nl, dest=en, text=each, pronunciation=each, extra_data=""{'translat..."")","pronoun: each, any.  "
308,krijg,68617,142275506,87.23358618771823,"Translated(src=nl, dest=en, text=get, pronunciation=get, extra_data=""{'translat..."")","noun: war, warfare.  "
309,horen,68607,142344113,87.27565129657528,"Translated(src=nl, dest=en, text=to belong, pronunciation=to belong, extra_data=""{'translat..."")","verb: hear, belong.  auxiliary verb: should.  "
310,gelijk,67986,142412099,87.31733565080668,"Translated(src=nl, dest=en, text=equal, pronunciation=equal, extra_data=""{'translat..."")","adjective: equal, similar.  noun: equal.  adverb: as, alike.  "
311,bijna,67920,142480019,87.35897953836292,"Translated(src=nl, dest=en, text=almost, pronunciation=almost, extra_data=""{'translat..."")","adverb: almost, nearly.  phrase: within an inch.  "
312,zouden,67911,142547930,87.40061790773618,"Translated(src=nl, dest=en, text=would, pronunciation=would, extra_data=""{'translat..."")","verb: will, shall.  "
313,open,67598,142615528,87.442064366968,"Translated(src=nl, dest=en, text=Open, pronunciation=Open, extra_data=""{'translat..."")","adjective: open, clear.  adverb: overtly, aboveboard.  "
314,orde,67404,142682932,87.48339187870005,"Translated(src=nl, dest=en, text=order, pronunciation=order, extra_data=""{'translat..."")","noun: order, discipline.  "
315,begrijp,67348,142750280,87.52468505507132,"Translated(src=nl, dest=en, text=understand, pronunciation=understand, extra_data=""{'translat..."")",noun: prehension.  
316,hoofd,67137,142817417,87.56584886070829,"Translated(src=nl, dest=en, text=head, pronunciation=head, extra_data=""{'translat..."")","noun: head, principal.  "
317,gebeurt,66495,142883912,87.60661903595934,"Translated(src=nl, dest=en, text=happens, pronunciation=happens, extra_data=""{'translat..."")","verb: happen, be.  "
318,kant,66457,142950369,87.64736591221559,"Translated(src=nl, dest=en, text=side, pronunciation=side, extra_data=""{'translat..."")","noun: side, lace.  "
319,vrienden,66122,143016491,87.68790738943869,"Translated(src=nl, dest=en, text=friends, pronunciation=friends, extra_data=""{'translat..."")",noun: kith.  
320,houdt,65629,143082120,87.72814659286077,"Translated(src=nl, dest=en, text=holds, pronunciation=holds, extra_data=""{'translat..."")","verb: keep, hold.  "
321,eigenlijk,65503,143147623,87.76830854172113,"Translated(src=nl, dest=en, text=actually, pronunciation=actually, extra_data=""{'translat..."")","adverb: indeed, by rights.  adjective: proper.  "
322,alsof,65165,143212788,87.80826325215402,"Translated(src=nl, dest=en, text=as if, pronunciation=as if, extra_data=""{'translat..."")","conjunction: like, as if.  adverb: as.  "
323,pak,64554,143277342,87.84784333927571,"Translated(src=nl, dest=en, text=business suit, pronunciation=business suit, extra_data=""{'translat..."")","noun: suit, pack.  "
324,geeft,64330,143341672,87.88728608495433,"Translated(src=nl, dest=en, text=gives, pronunciation=gives, extra_data=""{'translat..."")","verb: give, deliver.  "
325,politie,64233,143405905,87.92666935688307,"Translated(src=nl, dest=en, text=Police, pronunciation=Police, extra_data=""{'translat..."")","noun: police, police force.  "
326,precies,64182,143470087,87.96602135910824,"Translated(src=nl, dest=en, text=precisely, pronunciation=precisely, extra_data=""{'translat..."")","adverb: exactly, just.  adjective: exact, precise.  "
327,wachten,63368,143533455,88.00487427233944,"Translated(src=nl, dest=en, text=to wait, pronunciation=to wait, extra_data=""{'translat..."")","verb: wait, await.  "
328,familie,63300,143596755,88.04368549263258,"Translated(src=nl, dest=en, text=family, pronunciation=family, extra_data=""{'translat..."")","noun: family, kin.  "
329,verder,63214,143659969,88.08244398362167,"Translated(src=nl, dest=en, text=further, pronunciation=further, extra_data=""{'translat..."")","adjective: further, farther.  adverb: further, more.  "
330,zat,63005,143722974,88.12107433013934,"Translated(src=nl, dest=en, text=was sitting, pronunciation=was sitting, extra_data=""{'translat..."")","adjective: drunk, intoxicated.  "
331,soms,62608,143785582,88.15946126347445,"Translated(src=nl, dest=en, text=sometimes, pronunciation=sometimes, extra_data=""{'translat..."")","adverb: sometimes, sometime.  "
332,werken,62578,143848160,88.1978298028663,"Translated(src=nl, dest=en, text=to work, pronunciation=to work, extra_data=""{'translat..."")","verb: work, operate.  noun: works.  "
333,bel,62257,143910417,88.23600152706517,"Translated(src=nl, dest=en, text=bell, pronunciation=bell, extra_data=""{'translat..."")","noun: bubble, bell.  "
334,voel,62192,143972609,88.27413339772032,"Translated(src=nl, dest=en, text=feel, pronunciation=feel, extra_data=""{'translat..."")","verb: feel, sense.  "
335,kind,61911,144034520,88.31209297844019,"Translated(src=nl, dest=en, text=child, pronunciation=child, extra_data=""{'translat..."")","noun: child, kid.  "
336,probeer,61802,144096322,88.34998572783286,"Translated(src=nl, dest=en, text=try, pronunciation=try, extra_data=""{'translat..."")","verb: try, attempt.  "
337,ding,61751,144158073,88.38784720752197,"Translated(src=nl, dest=en, text=thing, pronunciation=thing, extra_data=""{'translat..."")","noun: thing, object.  "
338,minuten,61538,144219611,88.4255780902139,"Translated(src=nl, dest=en, text=minutes, pronunciation=minutes, extra_data=""{'translat..."")",noun: minute.  
339,krijgt,61469,144281080,88.4632666668363,"Translated(src=nl, dest=en, text=gets, pronunciation=gets, extra_data=""{'translat..."")","verb: get, receive.  "
340,zet,61264,144342344,88.50082955151305,"Translated(src=nl, dest=en, text=sets, pronunciation=sets, extra_data=""{'translat..."")","noun: move, stroke.  "
341,vijf,61236,144403580,88.53837526850943,"Translated(src=nl, dest=en, text=five, pronunciation=five, extra_data=""{'translat..."")","noun: five, pentad.  : five.  "
342,gehad,61099,144464679,88.5758369864982,"Translated(src=nl, dest=en, text=had, pronunciation=had, extra_data=""{'translat..."")","verb: have, possess.  "
343,haal,60818,144525497,88.61312641455173,"Translated(src=nl, dest=en, text=get, pronunciation=get, extra_data=""{'translat..."")","noun: pull, stroke.  "
344,gemaakt,60509,144586006,88.6502263849896,"Translated(src=nl, dest=en, text=created, pronunciation=created, extra_data=""{'translat..."")","adjective: artificial, forced.  "
345,hè,60004,144646010,88.68701672404913,"Translated(src=nl, dest=en, text=Hey, pronunciation=Hey, extra_data=""{'translat..."")","interjection: Hey!, He!.  "
346,manier,59982,144705992,88.72379357421694,"Translated(src=nl, dest=en, text=way, pronunciation=way, extra_data=""{'translat..."")","noun: way, manner.  "
347,dagen,59905,144765897,88.76052321326371,"Translated(src=nl, dest=en, text=to dawn, pronunciation=to dawn, extra_data=""{'translat..."")","verb: dawn, summon.  "
348,zoek,59872,144825769,88.79723261897287,"Translated(src=nl, dest=en, text=Search, pronunciation=Search, extra_data=""{'translat..."")","adjective: lost, mislaid.  "
349,heet,59836,144885605,88.83391995195012,"Translated(src=nl, dest=en, text=is called, pronunciation=is called, extra_data=""{'translat..."")","adjective: hot, warm.  adverb: fervidly.  "
350,volgende,59563,144945168,88.87043990004364,"Translated(src=nl, dest=en, text=next one, pronunciation=next one, extra_data=""{'translat..."")","adjective: next, following.  "
