,Dutch,Frequency,SpaCy_POS,SpaCy_Tag,POS,Translation
1098,professor,12576,NOUN,N|soort|ev|basis|zijd|stan,Noun,professor
1099,kiezen,12559,VERB,WW|inf|vrij|zonder,Verb,to elect
1100,liep,12555,VERB,WW|pv|verl|ev,Verb,walked
1101,vonden,12525,VERB,WW|pv|verl|mv,Verb,found
1102,hangt,12470,VERB,WW|pv|tgw|met-t,Verb,hangs
1103,sluiten,12469,VERB,WW|inf|vrij|zonder,Verb,Close
1104,verdienen,12461,VERB,WW|pv|tgw|mv,Verb,to deserve
1105,helft,12434,NOUN,N|soort|ev|basis|zijd|stan,Noun,half
1106,teveel,12432,ADV,VNW|onbep|grad|stan|vrij|zonder|basis,Adverb,too many
1107,leeg,12421,ADJ,ADJ|vrij|basis|zonder,Adjective,empty
1108,bleef,12409,VERB,WW|pv|verl|ev,Verb,Remained
1109,heerlijk,12365,ADJ,ADJ|vrij|basis|zonder,Adjective,Delicious
1110,eraf,12355,ADV,BW,Adverb,off
1111,gelukt,12349,VERB,WW|vd|vrij|zonder,Verb,success
1112,helaas,12323,ADV,BW,Adverb,unfortunately
1113,stelen,12307,VERB,WW|inf|nom|zonder|zonder-n,Verb,to steal
1114,benen,12298,NOUN,N|soort|mv|basis,Noun,legs
1115,gezet,12273,VERB,WW|vd|vrij|zonder,Verb,put
1116,bekijken,12257,VERB,WW|pv|tgw|mv,Verb,to look at
1117,boodschap,12243,NOUN,N|soort|ev|basis|zijd|stan,Noun,errand
1118,eikel,12225,NOUN,N|soort|ev|basis|zijd|stan,Noun,jerk
1119,lift,12211,NOUN,N|soort|ev|basis|onz|stan,Noun,elevator
1120,been,12196,NOUN,N|soort|ev|basis|onz|stan,Noun,leg
1121,gekocht,12189,VERB,WW|vd|vrij|zonder,Verb,purchased
1122,boeken,12174,NOUN,N|soort|mv|basis,Noun,books
1123,groter,12167,ADJ,ADJ|vrij|comp|zonder,Adjective,taller
1124,opschieten,12155,NOUN,N|soort|mv|basis,Noun,Hurry up
1125,gevallen,12148,NOUN,N|soort|mv|basis,Noun,fallen
1126,donker,12116,ADJ,ADJ|vrij|basis|zonder,Adjective,dark
1127,rechts,12116,ADJ,ADJ|vrij|basis|zonder,Adjective,right
1128,aandacht,12112,NOUN,N|soort|ev|basis|zijd|stan,Noun,attention
1129,slaat,12105,VERB,WW|pv|tgw|met-t,Verb,hit
1130,ophouden,12083,VERB,WW|inf|vrij|zonder,Verb,to hold up
1131,drink,12061,NOUN,N|soort|mv|basis,Noun,drink
1132,slag,12058,NOUN,N|soort|ev|basis|zijd|stan,Noun,battle
1133,vannacht,12056,ADV,BW,Adverb,tonight
1134,gehaald,12042,VERB,WW|vd|vrij|zonder,Verb,fetched
1135,speciaal,12036,ADJ,ADJ|vrij|basis|zonder,Adjective,special
1136,meegenomen,12019,VERB,WW|vd|vrij|zonder,Verb,brought
1137,koningin,12004,NOUN,N|soort|ev|basis|zijd|stan,Noun,queen
1138,godsnaam,11993,NOUN,N|soort|ev|basis|onz|stan,Noun,God sake
1139,speciale,11984,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,special one
1140,test,11971,NOUN,N|soort|ev|basis|zijd|stan,Noun,test
1141,geschiedenis,11966,NOUN,N|soort|ev|basis|zijd|stan,Noun,history
1142,volledig,11965,ADJ,ADJ|vrij|basis|zonder,Adjective,complete
1143,zulke,11931,DET,VNW|aanw|det|stan|prenom|met-e|rest,Determiner,such
1144,raakt,11928,VERB,WW|pv|tgw|met-t,Verb,hits
1145,adres,11926,NOUN,N|soort|ev|basis|onz|stan,Noun,address
1146,alweer,11908,ADV,BW,Adverb,again
1147,meestal,11890,ADV,BW,Adverb,generally
1148,park,11862,NOUN,N|soort|ev|basis|onz|stan,Noun,park
1149,regering,11841,NOUN,N|soort|ev|basis|zijd|stan,Noun,government
1150,ouwe,11832,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,old
1151,bestaan,11829,VERB,WW|pv|tgw|mv,Verb,to exist
1152,sheriff,11828,SYM,SPEC|vreemd,Symbol,sheriff
1153,dak,11822,NOUN,N|soort|ev|basis|onz|stan,Noun,roof
1154,zwanger,11811,ADJ,ADJ|vrij|comp|zonder,Adjective,pregnant
1155,gehouden,11809,VERB,WW|vd|vrij|zonder,Verb,held
1156,zelfmoord,11798,NOUN,N|soort|ev|basis|zijd|stan,Noun,suicide
1157,vreemde,11782,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,stranger
1158,hopelijk,11776,ADJ,ADJ|vrij|basis|zonder,Adjective,hopefully
1159,adem,11726,NOUN,N|soort|ev|basis|zijd|stan,Noun,breath
1160,vernietigen,11722,VERB,WW|pv|tgw|mv,Verb,destroy
1161,betrokken,11715,VERB,WW|vd|vrij|zonder,Verb,concerned
1162,betaal,11710,NOUN,N|soort|ev|basis|onz|stan,Noun,pay
1163,koop,11703,NOUN,N|soort|ev|basis|zijd|stan,Noun,buy
1164,nek,11699,NOUN,N|soort|ev|basis|zijd|stan,Noun,neck
1165,brug,11692,NOUN,N|soort|ev|basis|zijd|stan,Noun,bridge
1166,bezoek,11677,NOUN,N|soort|ev|basis|onz|stan,Noun,visit
1167,belt,11671,VERB,WW|pv|tgw|met-t,Verb,calls
1168,kwalijk,11655,ADJ,ADJ|vrij|basis|zonder,Adjective,bad
1169,ongelooflijk,11602,ADJ,ADJ|vrij|basis|zonder,Adjective,unbelievable
1170,bar,11593,NOUN,N|soort|ev|basis|zijd|stan,Noun,bar
1171,ijs,11592,NOUN,N|soort|ev|basis|onz|stan,Noun,ice
1172,overleven,11583,VERB,WW|pv|tgw|mv,Verb,to survive
1173,beiden,11580,PRON,VNW|onbep|grad|stan|nom|met-e|mv-n|basis,Pronoun,both
1174,meenemen,11575,VERB,WW|pv|tgw|mv,Verb,take
1175,gestorven,11571,VERB,WW|vd|vrij|zonder,Verb,died
1176,ontslagen,11559,VERB,WW|vd|vrij|zonder,Verb,dismissed
1177,aantal,11559,NOUN,N|soort|ev|basis|onz|stan,Noun,number
1178,vuile,11550,PROPN,SPEC|deeleigen,Proper noun,dirty
1179,geweer,11529,NOUN,N|soort|ev|basis|onz|stan,Noun,rifle
1180,beurt,11528,NOUN,N|soort|ev|basis|zijd|stan,Noun,turn
1181,werkelijk,11516,ADJ,ADJ|vrij|basis|zonder,Adjective,really
1182,dichtbij,11505,ADJ,ADJ|vrij|basis|zonder,Adjective,close to
1183,zwart,11498,ADJ,ADJ|vrij|basis|zonder,Adjective,black
1184,laatst,11490,ADJ,ADJ|vrij|sup|zonder,Adjective,last
1185,liegt,11459,VERB,WW|pv|tgw|met-t,Verb,lies
1186,voeten,11458,NOUN,N|soort|mv|basis,Noun,feet
1187,lees,11440,VERB,WW|pv|tgw|ev,Verb,read
1188,wisten,11434,VERB,WW|pv|verl|mv,Verb,knew
1189,zingen,11423,VERB,WW|inf|vrij|zonder,Verb,to sing
1190,toestemming,11412,NOUN,N|soort|ev|basis|zijd|stan,Noun,permission
1191,gestopt,11393,VERB,WW|vd|vrij|zonder,Verb,stopped
1192,zaten,11374,VERB,WW|pv|verl|mv,Verb,sat
1193,kort,11367,ADJ,ADJ|vrij|basis|zonder,Adjective,short
1194,gepakt,11363,VERB,WW|vd|vrij|zonder,Verb,caught
1195,knap,11362,ADJ,ADJ|vrij|basis|zonder,Adjective,good looking
1196,waarop,11308,ADV,BW,Adverb,on which
1197,betere,11291,ADJ,ADJ|prenom|comp|met-e|stan,Adjective,better
1198,ontdekt,11284,VERB,WW|vd|vrij|zonder,Verb,discovers
1199,doorgaan,11269,VERB,WW|inf|nom|zonder|zonder-n,Verb,Get on
1200,vlees,11262,NOUN,N|soort|ev|basis|onz|stan,Noun,meat
1201,richting,11250,NOUN,N|soort|ev|basis|zijd|stan,Noun,direction
1202,ruzie,11241,NOUN,N|soort|ev|basis|zijd|stan,Noun,row
1203,verdient,11240,VERB,WW|pv|tgw|met-t,Verb,deserves
1204,gesloten,11227,VERB,WW|vd|vrij|zonder,Verb,Closed
1205,welterusten,11225,NOUN,N|soort|mv|basis,Noun,Good night
1206,belachelijk,11216,ADJ,ADJ|vrij|basis|zonder,Adjective,ridiculous
1207,rekening,11199,NOUN,N|soort|ev|basis|zijd|stan,Noun,account
1208,verdorie,11194,NOUN,N|soort|ev|basis|zijd|stan,Noun,damn
1209,ach,11172,SYM,SPEC|symb,Symbol,oh well
1210,monster,11168,NOUN,N|soort|ev|basis|zijd|stan,Noun,sample
1211,verrassing,11162,NOUN,N|soort|ev|basis|zijd|stan,Noun,surprise
1212,rechter,11138,NOUN,N|soort|ev|basis|zijd|stan,Noun,right
1213,ontsnappen,11133,VERB,WW|inf|vrij|zonder,Verb,escape
1214,gasten,11121,NOUN,N|soort|mv|basis,Noun,guests
1215,radio,11116,NOUN,N|soort|ev|basis|zijd|stan,Noun,radio
1216,energie,11113,NOUN,N|soort|ev|basis|zijd|stan,Noun,energy
1217,kennis,11104,NOUN,N|soort|ev|basis|zijd|stan,Noun,knowledge
1218,verlies,11100,NOUN,N|soort|ev|basis|onz|stan,Noun,loss
1219,verschillende,11093,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,various
1220,tas,11059,NOUN,N|soort|ev|basis|zijd|stan,Noun,bag
1221,veiligheid,11018,NOUN,N|soort|ev|basis|zijd|stan,Noun,safety
1222,draagt,11016,VERB,WW|pv|tgw|met-t,Verb,wears
1223,enig,11011,DET,VNW|onbep|det|stan|prenom|zonder|evon,Determiner,any
1224,voet,11004,NOUN,N|soort|ev|basis|zijd|stan,Noun,foot
1225,weekend,10991,NOUN,N|soort|ev|basis|onz|stan,Noun,weekend
1226,haalt,10978,VERB,WW|pv|tgw|met-t,Verb,fetches
1227,wijn,10969,NOUN,N|soort|ev|basis|zijd|stan,Noun,wine
1228,verschil,10964,NOUN,N|soort|ev|basis|onz|stan,Noun,difference
1229,verkocht,10953,VERB,WW|vd|vrij|zonder,Verb,sold
1230,stoel,10943,NOUN,N|soort|ev|basis|zijd|stan,Noun,chair
1231,commandant,10874,NOUN,N|soort|ev|basis|zijd|stan,Noun,commander
1232,gat,10873,NOUN,N|soort|ev|basis|onz|stan,Noun,hole
1233,mes,10854,NOUN,N|soort|ev|basis|onz|stan,Noun,knife
1234,beslissing,10849,NOUN,N|soort|ev|basis|zijd|stan,Noun,decision
1235,boom,10846,NOUN,N|soort|ev|basis|zijd|stan,Noun,tree
1236,glas,10797,NOUN,N|soort|ev|basis|onz|stan,Noun,glass
1237,basis,10771,NOUN,N|soort|ev|basis|zijd|stan,Noun,base
1238,schrijf,10751,NOUN,N|soort|ev|basis|onz|stan,Noun,write
1239,reet,10746,ADJ,ADJ|vrij|basis|zonder,Adjective,ass
1240,knul,10742,SYM,SPEC|vreemd,Symbol,boy
1241,captain,10724,SYM,SPEC|vreemd,Symbol,captain
1242,der,10721,DET,LID|bep|gen|rest3,Determiner,der
1243,verjaardag,10711,NOUN,N|soort|ev|basis|zijd|stan,Noun,birthday
1244,geregeld,10706,VERB,WW|vd|vrij|zonder,Verb,organized
1245,procent,10701,NOUN,N|soort|ev|basis|onz|stan,Noun,per cent
1246,neergeschoten,10698,VERB,WW|vd|vrij|zonder,Verb,shot
1247,spoor,10691,NOUN,N|soort|ev|basis|onz|stan,Noun,track
1248,kilometer,10691,NOUN,N|soort|ev|basis|zijd|stan,Noun,kilometers
1249,bezorgd,10681,VERB,WW|vd|vrij|zonder,Verb,Worried
1250,opdracht,10678,NOUN,N|soort|ev|basis|zijd|stan,Noun,Job
1251,gevangen,10667,VERB,WW|vd|vrij|zonder,Verb,captured
1252,hoek,10644,NOUN,N|soort|ev|basis|zijd|stan,Noun,corner
1253,vanmorgen,10639,ADV,BW,Adverb,this morning
1254,verandert,10634,VERB,WW|pv|tgw|met-t,Verb,changes
1255,vis,10629,NOUN,N|soort|ev|basis|zijd|stan,Noun,fish
1256,waarvan,10621,ADV,BW,Adverb,of which
1257,heilige,10606,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,saint
1258,hoge,10592,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,high
1259,excuses,10580,NOUN,N|soort|mv|basis,Noun,apologies
1260,bedoelde,10577,VERB,WW|pv|verl|ev,Verb,referred to
1261,klas,10526,NOUN,N|soort|ev|basis|zijd|stan,Noun,class
1262,kogel,10524,NOUN,N|soort|ev|basis|zijd|stan,Noun,ball
1263,simpel,10497,ADJ,ADJ|vrij|basis|zonder,Adjective,easy
1264,hoogte,10492,NOUN,N|soort|ev|basis|zijd|stan,Noun,height
1265,honden,10491,VERB,WW|inf|vrij|zonder,Verb,dogs
1266,waarmee,10476,ADV,BW,Adverb,by which
1267,goud,10474,NOUN,N|soort|ev|basis|onz|stan,Noun,gold
1268,wens,10473,NOUN,N|soort|ev|basis|zijd|stan,Noun,wish
1269,prachtige,10464,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,gorgeous
1270,zakken,10439,VERB,WW|inf|vrij|zonder,Verb,to fail
1271,eenmaal,10405,ADV,BW,Adverb,once
1272,kat,10404,NOUN,N|soort|ev|basis|zijd|stan,Noun,cat
1273,plaatsen,10402,NOUN,N|soort|mv|basis,Noun,places
1274,rood,10396,ADJ,ADJ|vrij|basis|zonder,Adjective,red
1275,sleutels,10393,NOUN,N|soort|mv|basis,Noun,Keys
1276,ware,10389,AUX,WW|pv|conj|ev,Auxiliary,true
1277,onderzoeken,10380,VERB,WW|inf|vrij|zonder,Verb,to research
1278,dachten,10371,VERB,WW|pv|verl|mv,Verb,thought
1279,vrijheid,10364,NOUN,N|soort|ev|basis|zijd|stan,Noun,freedom
1280,sprak,10358,VERB,WW|pv|verl|ev,Verb,spoke
1281,gooien,10358,VERB,WW|inf|vrij|zonder,Verb,to throw
1282,last,10349,NOUN,N|soort|ev|basis|zijd|stan,Noun,burden
1283,rivier,10343,NOUN,N|soort|ev|basis|zijd|stan,Noun,river
1284,hiermee,10338,ADV,BW,Adverb,with this
1285,noemt,10321,VERB,WW|pv|tgw|met-t,Verb,mentions
1286,blauwe,10306,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,blue
1287,hoelang,10300,NOUN,ADJ|vrij|comp|zonder,Noun,how long
1288,tante,10296,NOUN,N|soort|ev|basis|zijd|stan,Noun,aunt
1289,vele,10294,ADV,VNW|onbep|grad|stan|prenom|met-e|agr|basis,Adverb,many
1290,soldaat,10279,NOUN,N|soort|ev|basis|zijd|stan,Noun,soldier
1291,huilen,10276,VERB,WW|inf|vrij|zonder,Verb,to cry
1292,feit,10266,NOUN,N|soort|ev|basis|onz|stan,Noun,fact
1293,programma,10264,NOUN,N|soort|ev|basis|onz|stan,Noun,program
1294,getuige,10255,NOUN,N|soort|ev|basis|zijd|stan,Noun,witness
1295,Tommy,10253,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,Tommy
1296,begraven,10243,VERB,WW|pv|tgw|mv,Verb,to bury
1297,gezeten,10238,VERB,WW|vd|vrij|zonder,Verb,seated
1298,grap,10236,NOUN,N|soort|ev|basis|zijd|stan,Noun,joke
1299,Christus,10226,PROPN,N|eigen|ev|basis|zijd|stan,Proper noun,Christ
1300,vriendje,10201,NOUN,N|soort|ev|dim|onz|stan,Noun,boyfriend
1301,onmiddellijk,10182,ADJ,ADJ|vrij|basis|zonder,Adjective,immediately
1302,bereid,10164,ADJ,ADJ|vrij|basis|zonder,Adjective,prepared
1303,bedanken,10153,VERB,WW|inf|vrij|zonder,Verb,to thank
1304,twintig,10145,NUM,TW|hoofd|vrij,Numeral,twenty
1305,beeld,10142,NOUN,N|soort|ev|basis|onz|stan,Noun,image
1306,verklaring,10140,NOUN,N|soort|ev|basis|zijd|stan,Noun,declaration
1307,woon,10129,VERB,WW|pv|tgw|ev,Verb,live
1308,twaalf,10126,NUM,TW|hoofd|prenom|stan,Numeral,twelve
1309,stelt,10112,VERB,WW|pv|tgw|met-t,Verb,stilt
1310,beweging,10094,NOUN,N|soort|ev|basis|zijd|stan,Noun,movement
1311,duren,10073,VERB,WW|pv|tgw|mv,Verb,to last
1312,patiënt,10067,NOUN,N|soort|ev|basis|onz|stan,Noun,patient
1313,thee,10063,NOUN,N|soort|ev|basis|zijd|stan,Noun,tea
1314,indruk,10062,NOUN,N|soort|ev|basis|zijd|stan,Noun,impression
1315,totaal,10034,ADJ,ADJ|vrij|basis|zonder,Adjective,total
1316,Parijs,10000,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Paris
1317,ballen,9997,NOUN,N|soort|mv|basis,Noun,balls
1318,dorp,9991,NOUN,N|soort|ev|basis|onz|stan,Noun,village
1319,stukje,9981,NOUN,N|soort|ev|dim|onz|stan,Noun,piece
1320,leider,9978,NOUN,N|soort|ev|basis|zijd|stan,Noun,leader
1321,zwaard,9975,NOUN,N|soort|ev|basis|onz|stan,Noun,sword
1322,kus,9973,VERB,WW|pv|tgw|ev,Verb,kiss
1323,taxi,9969,NOUN,N|soort|ev|basis|zijd|stan,Noun,cab
1324,gevoelens,9966,NOUN,N|soort|mv|basis,Noun,feelings
1325,verdachte,9962,VERB,WW|vd|prenom|met-e,Verb,suspect
1326,Engels,9962,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,English
1327,zware,9954,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,heavy
1328,vlak,9931,ADJ,ADJ|vrij|basis|zonder,Adjective,right
1329,soldaten,9926,NOUN,N|soort|mv|basis,Noun,soldiers
1330,zagen,9920,VERB,WW|pv|verl|mv,Verb,saws
1331,lol,9915,NOUN,N|soort|ev|basis|zijd|stan,Noun,LOL
1332,langzaam,9900,ADJ,ADJ|vrij|basis|zonder,Adjective,slowly
1333,hangen,9886,VERB,WW|pv|tgw|mv,Verb,to hang
1334,keuken,9880,NOUN,N|soort|ev|basis|zijd|stan,Noun,kitchen
1335,wind,9867,NOUN,N|soort|ev|basis|zijd|stan,Noun,wind
1336,cel,9858,NOUN,N|soort|ev|basis|zijd|stan,Noun,cell
1337,breken,9857,VERB,WW|pv|tgw|mv,Verb,break
1338,vergeef,9851,VERB,WW|pv|verl|ev,Verb,forgive
1339,geluid,9849,NOUN,N|soort|ev|basis|onz|stan,Noun,sound
1340,slaapt,9847,VERB,WW|pv|tgw|met-t,Verb,sleeps
1341,moorden,9836,NOUN,N|soort|mv|basis,Noun,murders
1342,aangenaam,9829,ADJ,ADJ|vrij|basis|zonder,Adjective,nice to meet you
1343,geholpen,9821,VERB,WW|vd|vrij|zonder,Verb,assisted
1344,beest,9807,VERB,WW|vd|vrij|zonder,Verb,beast
1345,bier,9779,NOUN,N|soort|ev|basis|onz|stan,Noun,beer
1346,actie,9775,NOUN,N|soort|ev|basis|zijd|stan,Noun,action
1347,dieren,9771,NOUN,N|soort|mv|basis,Noun,animals
1348,krant,9766,NOUN,N|soort|ev|basis|zijd|stan,Noun,newspaper
1349,draag,9766,NOUN,N|soort|ev|basis|zijd|stan,Noun,carry
1350,leidt,9759,VERB,WW|pv|tgw|met-t,Verb,leads
1351,ontvangen,9746,VERB,WW|pv|tgw|mv,Verb,received
1352,minuut,9726,NOUN,N|soort|ev|basis|zijd|stan,Noun,minute
1353,levens,9699,NOUN,N|soort|mv|basis,Noun,lives
1354,appartement,9687,VERB,WW|pv|verl|ev,Verb,apartment
1355,draaien,9663,VERB,WW|inf|vrij|zonder,Verb,turn
1356,vakantie,9660,NOUN,N|soort|ev|basis|zijd|stan,Noun,holidays
1357,leer,9657,NOUN,N|soort|ev|basis|onz|stan,Noun,learn
1358,sterft,9652,VERB,WW|pv|tgw|met-t,Verb,dies
1359,mist,9642,VERB,WW|pv|tgw|met-t,Verb,fog
1360,vecht,9633,VERB,WW|pv|tgw|ev,Verb,fight
1361,passen,9632,VERB,WW|inf|vrij|zonder,Verb,to fit
1362,jurk,9614,NOUN,N|soort|ev|basis|zijd|stan,Noun,dress
1363,privé,9612,NOUN,N|soort|ev|basis|zijd|stan,Noun,privately
1364,hoer,9607,NOUN,N|soort|ev|basis|zijd|stan,Noun,whore
1365,chef,9606,NOUN,N|soort|ev|basis|zijd|stan,Noun,chief
1366,wraak,9592,NOUN,N|soort|ev|basis|zijd|stan,Noun,revenge
1367,sexy,9585,NOUN,N|soort|ev|basis|zijd|stan,Noun,sexy
1368,gauw,9581,ADJ,ADJ|vrij|basis|zonder,Adjective,soon
1369,slot,9567,NOUN,N|soort|ev|basis|onz|stan,Noun,key lock
1370,afstand,9564,NOUN,N|soort|ev|basis|zijd|stan,Noun,distance
1371,Washington,9549,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Washington
1372,gratis,9544,ADJ,ADJ|vrij|basis|zonder,Adjective,free
1373,wint,9536,VERB,WW|pv|tgw|met-t,Verb,wins
1374,reed,9533,VERB,WW|pv|verl|ev,Verb,drove
1375,strijd,9527,NOUN,N|soort|ev|basis|zijd|stan,Noun,conflict
1376,ervaring,9519,NOUN,N|soort|ev|basis|zijd|stan,Noun,experience
1377,honderd,9514,NUM,TW|hoofd|prenom|stan,Numeral,hundred
1378,bouwen,9513,VERB,WW|inf|vrij|zonder,Verb,to build
1379,leiding,9512,NOUN,N|soort|ev|basis|zijd|stan,Noun,pipe
1380,schoon,9510,ADJ,ADJ|vrij|basis|zonder,Adjective,beautiful
1381,geslagen,9495,VERB,WW|vd|vrij|zonder,Verb,beaten
1382,draait,9483,VERB,WW|pv|tgw|met-t,Verb,turns
1383,belangrijke,9467,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,important
1384,risico,9459,NOUN,N|soort|ev|basis|onz|stan,Noun,risk
1385,trap,9452,NOUN,N|soort|ev|basis|zijd|stan,Noun,stairs
1386,prinses,9425,NOUN,N|soort|ev|basis|zijd|stan,Noun,princess
1387,verantwoordelijk,9385,ADJ,ADJ|vrij|basis|zonder,Adjective,responsible
1388,neuken,9373,NOUN,N|soort|mv|basis,Noun,fuck
1389,goedenavond,9370,ADJ,ADJ|vrij|basis|zonder,Adjective,Good evening
1390,slachtoffers,9367,NOUN,N|soort|mv|basis,Noun,victims
1391,bezit,9358,VERB,WW|pv|tgw|ev,Verb,possess
1392,noemde,9326,VERB,WW|pv|verl|ev,Verb,mentioned
1393,armen,9313,NOUN,N|soort|mv|basis,Noun,poor
1394,roep,9305,NOUN,N|soort|ev|basis|zijd|stan,Noun,call
1395,schoot,9282,VERB,WW|pv|verl|ev,Verb,shot
1396,vertrek,9281,NOUN,N|soort|ev|basis|onz|stan,Noun,departure
1397,restaurant,9271,NOUN,N|soort|ev|basis|onz|stan,Noun,restaurant
1398,geniet,9270,VERB,WW|pv|tgw|ev,Verb,enjoy
1399,gepraat,9268,VERB,WW|vd|vrij|zonder,Verb,talked
1400,dikke,9260,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,thick
1401,rol,9253,NOUN,N|soort|ev|basis|zijd|stan,Noun,role
1402,kerels,9245,NOUN,N|soort|mv|basis,Noun,guys
1403,tijden,9242,NOUN,N|soort|mv|basis,Noun,times
1404,misdaad,9232,NOUN,N|soort|ev|basis|zijd|stan,Noun,crime
1405,homo,9231,NOUN,N|soort|ev|basis|zijd|stan,Noun,homo
1406,leef,9230,VERB,WW|pv|tgw|ev,Verb,live
1407,springen,9228,VERB,WW|pv|tgw|mv,Verb,to jump
1408,directeur,9223,NOUN,N|soort|ev|basis|zijd|stan,Noun,director
1409,erachter,9221,ADV,BW,Adverb,behind it
1410,start,9220,VERB,WW|pv|tgw|ev,Verb,Start
1411,wezen,9216,VERB,WW|inf|vrij|zonder,Verb,being
1412,rijdt,9213,VERB,WW|pv|tgw|met-t,Verb,drives
1413,duizend,9204,NUM,TW|hoofd|prenom|stan,Numeral,thousand
1414,wow,9182,NOUN,N|soort|ev|basis|zijd|stan,Noun,wow
1415,prins,9166,NOUN,N|soort|ev|basis|zijd|stan,Noun,Prince
1416,antwoorden,9164,VERB,WW|inf|vrij|zonder,Verb,answers
1417,raakte,9155,VERB,WW|pv|verl|ev,Verb,hit
1418,tekenen,9146,VERB,WW|inf|vrij|zonder,Verb,to draw
1419,vieren,9139,VERB,WW|pv|tgw|mv,Verb,to celebrate
1420,perfecte,9133,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,perfect
1421,zorgt,9123,VERB,WW|pv|tgw|met-t,Verb,cares
1422,behoorlijk,9105,ADJ,ADJ|vrij|basis|zonder,Adjective,fairly
1423,majesteit,9105,NOUN,N|soort|ev|basis|zijd|stan,Noun,majesty
1424,luistert,9102,VERB,WW|pv|tgw|met-t,Verb,listens
1425,waarover,9091,ADV,BW,Adverb,about what
1426,nadenken,9091,VERB,WW|inf|vrij|zonder,Verb,think it over
1427,volgt,9065,VERB,WW|pv|tgw|met-t,Verb,follows
1428,neef,9061,NOUN,WW|pv|verl|ev,Noun,cousin
1429,gestoord,9050,VERB,WW|vd|vrij|zonder,Verb,disturbed
1430,vertaald,9048,VERB,WW|vd|vrij|zonder,Verb,translated
1431,mijnheer,9044,NOUN,N|soort|ev|basis|zijd|stan,Noun,Sir
1432,gewone,9031,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,ordinary
1433,taak,9030,NOUN,N|soort|ev|basis|zijd|stan,Noun,task
1434,Londen,9029,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,London
1435,aanvallen,9027,VERB,N|soort|mv|basis,Verb,to attack
1436,opa,9021,NOUN,N|soort|ev|basis|zijd|stan,Noun,grandpa
1437,rook,9016,NOUN,N|soort|ev|basis|zijd|stan,Noun,smoke
1438,geweten,9014,NOUN,WW|vd|vrij|zonder,Noun,known
1439,trouw,8996,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,fidelity
1440,signaal,8995,NOUN,ADJ|vrij|basis|zonder,Noun,signal
1441,kussen,8983,VERB,WW|inf|vrij|zonder,Verb,to kiss
1442,ouder,8982,ADJ,ADJ|vrij|comp|zonder,Adjective,older
1443,dankzij,8981,ADP,VZ|init,Preposition,thanks to
1444,lach,8979,NOUN,N|soort|ev|basis|zijd|stan,Noun,smile
1445,sporen,8953,VERB,N|soort|mv|basis,Verb,tracks
1446,jas,8918,NOUN,N|soort|ev|basis|zijd|stan,Noun,jacket
1447,godverdomme,8917,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,Goddamnit
1448,ster,8916,NOUN,N|soort|ev|basis|zijd|stan,Noun,star
1449,sloeg,8903,VERB,WW|pv|verl|ev,Verb,hit
1450,verschrikkelijk,8900,ADJ,ADJ|vrij|basis|zonder,Adjective,terrible
1451,vlug,8879,ADJ,ADJ|vrij|basis|zonder,Adjective,quickly
1452,tegenhouden,8861,VERB,WW|pv|verl|mv,Verb,to prevent
1453,wonder,8858,NOUN,N|soort|ev|basis|onz|stan,Noun,miracle
1454,toegang,8849,NOUN,N|soort|ev|basis|zijd|stan,Noun,access
1455,afdeling,8841,NOUN,N|soort|ev|basis|zijd|stan,Noun,department
1456,pad,8838,NOUN,N|soort|ev|basis|onz|stan,Noun,path
1457,besloten,8836,VERB,WW|vd|vrij|zonder,Verb,decided
1458,vorm,8833,NOUN,N|soort|ev|basis|zijd|stan,Noun,form
1459,uren,8829,NOUN,N|soort|mv|basis,Noun,hours
1460,stopt,8826,VERB,WW|pv|tgw|met-t,Verb,stops
1461,medicijnen,8824,NOUN,N|soort|mv|basis,Noun,medicines
1462,bek,8820,SYM,SPEC|vreemd,Symbol,beak
1463,majoor,8815,NOUN,N|soort|ev|basis|zijd|stan,Noun,major
1464,gekozen,8787,VERB,WW|vd|vrij|zonder,Verb,chosen
1465,beveiliging,8786,NOUN,N|soort|ev|basis|zijd|stan,Noun,security
1466,ah,8779,ADP,SPEC|deeleigen,Preposition,Ah
1467,fijne,8772,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,nice
1468,controleren,8771,NOUN,N|soort|mv|basis,Noun,check
