,Rank,French,English,POS
684,685,preuve,"proof, evidence",noun
685,686,humain,human,adjective
686,687,mer,"sea, seaside",noun
687,688,silence,silence,noun
688,689,télé,"TV, telly",noun
689,690,victime,"victim, casualty",noun
690,691,complètement,"completely, fully, in depth",adverb
691,692,pute,whore,noun
692,693,garde,"guard; carer, nurse",noun
693,694,meurtre,murder,noun
694,695,groupe,group,noun
695,696,crime,crime,noun
696,697,traiter,to treat; to deal,verb
697,698,doucement,"gently, softly",adverb
698,699,blesser,"to injure, wound, hurt",verb
699,700,colonel,colonel,noun
700,701,parole,"speech, word",noun
701,702,triste,sad,adjective
702,703,honte,shame,noun
703,704,rouge,red,adjective
704,705,dégager,to free; to clear; to radiate,verb
705,706,soirée,"evening, party",noun
706,707,dangereux,dangerous,adjective
707,708,armée,army,noun
708,709,filer,"to spin; to take off; to go off, to leave",verb
709,710,risquer,to risk,verb
710,711,dos,"back, spine",noun
711,712,appel,"call, appeal",noun
712,713,visite,visit,noun
713,714,mener,"to take; to lead, guide, manage",verb
714,715,fleur,"flower, blossom",noun
715,716,attaquer,to attack,verb
716,717,coin,"corner, spot",noun
717,718,prince,prince,noun
718,719,pire,worse,adjective
719,720,bordel,brothel; bloody/gooddamn mess,noun
720,721,professeur,"teacher, professor",noun
721,722,fumer,to smoke,verb
722,723,répéter,"to repeat; to go over, rehearse",verb
723,724,habitude,"habit, practice",noun
724,725,signer,to sign,verb
725,726,ficher,"to file, put on file",verb
726,727,mériter,"to deserve, be worth",verb
727,728,réponse,"response, answer, reply",noun
728,729,rejoindre,"to meet up; to join, rejoin; to go back to",verb
729,730,discuter,"to question, dispute",verb
730,731,village,village,noun
731,732,pourtant,yet,adverb
732,733,avancer,"to move forward, advance",verb
733,734,connerie,stupidity,noun
734,735,reposer,"to rest, to have a rest",verb
735,736,échapper,"to escape, get away, slip, run away",verb
736,737,forme,"form, shape",noun
737,738,bruit,"noise, sound; rumour",noun
738,739,chacun,"each, everyone",indefinite pronoun
739,740,diable,devil,noun
740,741,exemple,example,noun
741,742,charger,"to charge, load",verb
742,743,chat,cat,noun
743,744,ennemi,enemy,noun
744,745,gamin,"kid, child",noun
745,746,rendez-vous,appointment,noun
746,747,debout,"standing, standing up",adverb
747,748,obliger,to oblige,verb
748,749,trou,"hole, gap, deficit",noun
749,750,accompagner,"to go with, accompany",verb
750,751,fenêtre,window; languagedaily dot com,noun
751,752,oser,to dare,verb
752,753,impression,impression,noun
753,754,intérieur,"inside (inner surface), interrior",noun
754,755,bouche,mouth,noun
755,756,ligne,"line, course, service",noun
756,757,absolument,absolutely,adverb
757,758,doux,"soft, mild, gentle",adjective
758,759,regretter,nan,verb
759,760,mur,nan,noun
760,761,enfer,nan,noun
761,762,prouver,nan,verb
762,763,boîte,nan,noun
763,764,santé,nan,noun
764,765,t,nan,personal pronoun
765,766,couvrir,nan,verb
766,767,magnifique,nan,adjective
767,768,obtenir,nan,verb
768,769,cuisine,nan,noun
769,770,vue,nan,noun
770,771,terrible,nan,adjective
771,772,éviter,nan,verb
772,773,peau,nan,noun
773,774,salaud,nan,noun
774,775,conseil,nan,noun
775,776,plaisanter,nan,verb
776,777,autour,nan,adverb
777,778,vin,nan,noun
778,779,exact,nan,adjective
779,780,virer,nan,verb
780,781,supporter,nan,verb
781,782,régler,nan,verb
782,783,doigt,nan,noun
783,784,étrange,nan,adjective
784,785,grâce,nan,preposition
785,786,souhaiter,nan,verb
786,787,mission,nan,noun
787,788,créer,nan,verb
788,789,chanson,nan,noun
789,790,pote,nan,noun
790,791,surveiller,nan,verb
791,792,simplement,nan,adverb
792,793,recommencer,nan,verb
793,794,robe,nan,noun
794,795,chaud,nan,adjective
795,796,billet,nan,noun
796,797,spécial,nan,adjective
797,798,moyen,nan,noun
798,799,sympa,nan,adjective
799,800,vaisseau,nan,noun
800,801,moi-même,nan,personal pronoun
801,802,coûter,nan,verb
802,803,surprise,nan,noun
803,804,poste,nan,noun
804,805,compris,nan,adjective
805,806,anniversaire,nan,noun
806,807,signe,nan,noun
807,808,vol,nan,noun
808,809,couleur,nan,noun
809,810,image,nan,noun
810,811,parier,nan,verb
811,812,est,nan,noun
812,813,arbre,nan,noun
813,814,bière,nan,noun
814,815,mme,nan,noun
815,816,poisson,nan,noun
816,817,selon,nan,preposition
817,818,a,letter ''a'',noun
818,819,intérêt,nan,noun
819,820,lieutenant,nan,noun
820,821,danger,nan,noun
821,822,appartenir,nan,verb
822,823,remarquer,nan,verb
823,824,animal,nan,noun
824,825,rater,nan,verb
825,826,retirer,nan,verb
826,827,bord,nan,noun
827,828,tenter,nan,verb
828,829,liberté,nan,noun
829,830,règle,nan,noun
830,831,banque,nan,noun
831,832,merveilleux,nan,adjective
832,833,fier,nan,adjective
833,834,partager,nan,verb
834,835,classe,nan,noun
835,836,dossier,nan,noun
836,837,ressentir,nan,verb
837,838,bonheur,nan,noun
838,839,défendre,nan,verb
839,840,but,nan,noun
840,841,bande,nan,noun
841,842,l,nan,definite article
842,843,fatiguer,nan,verb
843,844,radio,nan,noun
844,845,prévoir,nan,verb
845,846,celui-là,nan,demonstrative pronoun
846,847,camarade,nan,noun
847,848,douter,nan,verb
848,849,oiseau,nan,noun
849,850,vent,nan,noun
850,851,recherche,nan,noun
851,852,apprécier,nan,verb
852,853,système,nan,noun
853,854,ferme,nan,noun
854,855,capable,nan,adjective
855,856,fuir,nan,verb
856,857,ennui,nan,noun
857,858,tante,nan,noun
858,859,héros,nan,noun
859,860,dedans,nan,adverb
860,861,excellent,nan,adjective
861,862,pitié,nan,noun
862,863,appartement,nan,noun
863,864,bosser,nan,verb
864,865,respirer,nan,verb
865,866,entier,nan,adjective
866,867,récupérer,nan,verb
867,868,douleur,nan,noun
868,869,libérer,nan,verb
869,870,sentiment,nan,noun
870,871,grand-père,nan,noun
871,872,société,nan,noun
872,873,lancer,nan,verb
873,874,nez,nan,noun
874,875,joie,nan,noun
875,876,relation,nan,noun
876,877,témoin,nan,noun
877,878,acteur,nan,noun
878,879,moitié,nan,noun
879,880,incroyable,nan,adjective
880,881,bain,nan,noun
881,882,durer,nan,verb
882,883,marché,nan,noun
883,884,laver,nan,verb
884,885,dent,nan,noun
885,886,là-dedans,nan,adverb
886,887,mademoiselle,nan,noun
887,888,adresse,nan,noun
888,889,cousin,nan,noun
889,890,riche,nan,adjective
890,891,compagnie,nan,noun
891,892,sonner,nan,verb
892,893,chaussure,nan,noun
893,894,oreille,nan,noun
894,895,grand-mère,nan,noun
895,896,ancien,nan,adjective
896,897,art,nan,noun
897,898,deviner,nan,verb
898,899,inutile,nan,adjective
899,900,ravir,nan,verb
900,901,blague,nan,noun
901,902,avenir,nan,noun
902,903,beauté,nan,noun
903,904,laisse,nan,noun
904,905,course,nan,noun
905,906,manière,nan,noun
906,907,traverser,nan,verb
907,908,expérience,nan,noun
908,909,soin,nan,noun
909,910,hors,nan,preposition
910,911,cour,nan,noun
911,912,gauche,nan,noun
912,913,stupide,nan,adjective
913,914,retenir,nan,verb
914,915,liste,nan,noun
915,916,remonter,nan,verb
916,917,réaliser,nan,verb
917,918,i,nan,noun
918,919,moquer,nan,verb
919,920,étudier,nan,verb
920,921,installer,nan,verb
921,922,courage,nan,noun
922,923,bleu,nan,adjective
923,924,secours,nan,noun
924,925,milieu,nan,noun
925,926,proposer,nan,verb
926,927,m,nan,noun
927,928,contact,nan,noun
928,929,inspecteur,nan,noun
929,930,mignon,nan,adjective
930,931,projet,nan,noun
931,932,probablement,nan,adverb
932,933,rôle,nan,noun
933,934,risque,nan,noun
934,935,action,nan,noun
935,936,ange,nan,noun
936,937,avance,nan,noun
937,938,intéressant,nan,adjective
938,939,parmi,nan,preposition
939,940,langue,nan,noun
940,941,emporter,nan,verb
941,942,thé,nan,noun
942,943,colère,nan,noun
943,944,départ,nan,noun
944,945,époque,nan,noun
945,946,engager,nan,verb
946,947,voleur,nan,noun
947,948,cesser,nan,verb
948,949,tort,nan,noun
949,950,vacance,nan,noun
950,951,là-haut,nan,adverb
951,952,machine,nan,noun
952,953,signifier,nan,verb
953,954,réparer,nan,verb
954,955,construire,nan,verb
955,956,pain,nan,noun
956,957,bar,nan,noun
957,958,chier,nan,verb
958,959,club,nan,noun
959,960,été,nan,noun
960,961,horrible,nan,adjective
961,962,profiter,nan,verb
962,963,pierre,nan,noun
963,964,pleuvoir,nan,verb
964,965,plusieurs,nan,indefinite adjective
965,966,salope,nan,noun
966,967,tel,nan,indefinite adjective
967,968,glace,nan,noun
968,969,décision,nan,noun
969,970,juge,nan,noun
970,971,contrôle,nan,noun
971,972,séparer,nan,verb
972,973,sept,nan,numerical adjective
973,974,maladie,nan,noun
974,975,quartier,nan,noun
975,976,désirer,nan,verb
976,977,travers,nan,noun
977,978,dommage,nan,noun
978,979,cigarette,nan,noun
979,980,traîner,nan,verb
980,981,respecter,nan,verb
981,982,époux,nan,noun
982,983,tas,nan,noun
983,984,enfuir,nan,verb
984,985,diriger,nan,verb
985,986,crever,nan,verb
986,987,fil,nan,noun
987,988,combat,nan,noun
988,989,poursuivre,nan,verb
989,990,morceau,nan,noun
990,991,église,nan,noun
991,992,directeur,nan,noun
992,993,demande,nan,noun
993,994,forcer,nan,verb
994,995,bombe,nan,noun
995,996,j,nan,noun
996,997,espoir,nan,noun
997,998,tueur,nan,noun
998,999,grandir,nan,verb
999,1000,dimanche,Sunday,noun
