,word,English
3324,apuestas,bets
3325,arrestado,arrested
3326,unión,Union
3327,permanecer,stay
3328,muéstrame,show me
3329,móvil,mobile
3330,dificil,hard
3331,casados,married
3332,cañón,Canyon
3333,tribunal,court
3334,sepan,know
3335,satélite,satelite
3336,recuerden,remember
3337,intentaré,I will try
3338,falsa,false
3339,coca,Coke
3340,símbolo,symbol
3341,rocas,rocks
3342,putas,whores
3343,pendejo,stupid
3344,mátalo,kill it
3345,judío,Jewish
3346,estando,being
3347,subtítulos,Subtitle
3348,gritando,Screaming
3349,dejemos,let's leave
3350,científicos,scientists
3351,bebiendo,drinking
3352,saque,serve
3353,metal,metal
3354,despedida,farewell
3355,golf,Golf
3356,empiece,start
3357,defender,defend
3358,crecer,growing up
3359,rota,broken
3360,sentimos,we feel
3361,guerreros,Warriors
3362,echa,cast
3363,comunicación,communication
3364,probado,tried
3365,pensarlo,think about it
3366,háblame,tell me
3367,detenido,stopped
3368,sabría,would know
3369,muertes,deaths
3370,movimientos,movements
3371,prohibido,forbidden
3372,pájaros,birds
3373,cargar,carry
3374,podíamos,we could
3375,junior,junior
3376,imágenes,images
3377,haberse,have
3378,acusado,accused
3379,peleando,fighting
3380,lealtad,loyalty
3381,considera,considers
3382,cazador,Hunter
3383,buscarlo,look for it
3384,apaga,turns off
3385,objeto,object
3386,sofá,sofa
3387,personales,personal
3388,homicidio,homicide
3389,electricidad,electricity
3390,advertencia,caveat
3391,rumores,rumors
3392,mentir,to lie
3393,fíjate,notice
3394,deuda,debt
3395,celoso,jealous
3396,bicicleta,bike
3397,azules,blues
3398,visitas,visits
3399,mejorar,to improve
3400,escudo,shield
3401,cueva,cave
3402,aérea,aerial
3403,levantar,get up
3404,juguetes,toys
3405,ciertamente,certainly
3406,bajen,come down
3407,temas,topics
3408,pedirte,ask you
3409,elegante,Elegant
3410,divorcio,divorce
3411,depósito,Deposit
3412,concierto,concert
3413,calla,shut up
3414,transmisión,transmission
3415,mataría,would kill
3416,flor,flower
3417,viejas,old
3418,trabajan,they work
3419,onda,vibe
3420,saldremos,we will go out
3421,preguntado,asked
3422,aliento,breath
3423,academia,academy
3424,sonar,Dream
3425,recibe,receives
3426,patio,yard
3427,función,function
3428,conduce,she drives
3429,pregúntale,ask her
3430,palo,stick
3431,internacional,international
3432,hueso,bone
3433,esclavos,slaves
3434,versión,version
3435,sacrificio,sacrifice
3436,judíos,Jews
3437,increible,amazing
3438,fotografía,Photography
3439,delicioso,delicious
3440,crímenes,crimes
3441,zorra,fox
3442,valle,Valley
3443,llevaremos,we will carry
3444,lentamente,slowly
3445,encantada,nice to meet you
3446,arreglo,arrangement
3447,volvería,I would return
3448,logró,achievement
3449,romántico,Romantic
3450,preocuparte,worry
3451,olvido,forgot
3452,fascinante,fascinating
3453,cuadro,frame
3454,creyó,believed
3455,adultos,Adults
3456,wow,wow
3457,sobrino,nephew
3458,secuencia,sequence
3459,lleven,carry
3460,huh,huh
3461,entradas,tickets
3462,decirnos,tell us
3463,resistencia,endurance
3464,llamarlo,call him
3465,ayudas,aids
3466,esperanzas,hopes
3467,disponible,available
3468,civil,civil
3469,caos,chaos
3470,velas,candles
3471,tenerlo,have it
3472,ponerle,put on
3473,muestras,samples
3474,lógica,logic
3475,casualidad,chance
3476,sigamos,let's keep going
3477,rayo,ray
3478,pato,duck
3479,pagado,paid out
3480,máscara,mask
3481,gustado,liked
3482,buscarte,look for you
3483,selva,jungle
3484,pm,p.m
3485,equivoqué,I was wrong
3486,condenado,condemned
3487,cometido,task
3488,tratan,treat
3489,pudimos,we could
3490,preguntando,asking
3491,tragedia,tragedy
3492,poli,cop
3493,compañías,companies
3494,charla,chat
3495,mete,put
3496,malditas,damn
3497,campos,fields
3498,cadáveres,corpses
3499,básicamente,basically
3500,vamonos,Let's go
3501,trucos,tricks
3502,preparada,prepared
3503,funcionará,it will work
3504,conté,i counted
3505,contando,counting
3506,construcción,building
3507,ciudadanos,citizens
3508,agarrar,grab
3509,infeliz,unhappy
3510,francesa,french
3511,explica,Explain
3512,decide,decide
3513,vende,sells
3514,rutina,routine
3515,gustar,like
3516,empieces,start
3517,caída,drop
3518,almorzar,lunch
3519,actividad,exercise
3520,inocentes,innocent
3521,fondos,money
3522,coraje,courage
3523,ayudando,Helping
3524,aterrizar,to land
3525,actuación,performance
3526,suba,go up
3527,ayudante,assistant
3528,vuela,Flying
3529,vaca,cow
3530,cirujano,surgeon
3531,tio,uncle
3532,olvídate,forget
3533,okay,OK
3534,entregar,deliver
3535,encerrado,locked
3536,rubia,blonde
3537,joyas,jewels
3538,empecemos,let us begin
3539,amado,loved
3540,terminamos,finished
3541,romanos,romans
3542,piedad,piety
3543,llamarte,call you
3544,hacían,they did
3545,furia,rage
3546,detalle,detail
3547,admitir,admit
3548,tendrías,you would have
3549,respiración,breathing
3550,prepárate,get ready
3551,escribiendo,writing
3552,confundido,confused
3553,vigilando,watching
3554,sufrimiento,suffering
3555,saludos,Cheers
3556,robaste,you stole
3557,golpear,beat
3558,garaje,garage
3559,buscaré,I will search
3560,revolución,revolution
3561,motel,motel
3562,buscaba,I was looking for
3563,alianza,alliance
3564,estupidez,stupidity
3565,disparado,fired
3566,sangrando,bleeding out
3567,quietos,still
3568,miserable,miserable
3569,ideal,ideal
3570,empiezo,start
3571,controla,controls
3572,prometiste,you promised
3573,heroína,heroin
3574,empezado,started
3575,dámelo,give it to me
3576,vecindario,neighborhood
3577,empleado,employee
3578,conociste,you met
3579,colores,colors
3580,cerebral,cerebral
3581,plástico,plastic
3582,piano,piano
3583,pensamiento,thought
3584,letra,lyrics
3585,empleados,employees
3586,dosis,dose
3587,dólar,dollar
3588,agrada,pleases
3589,tocado,touched
3590,tíos,uncles
3591,super,super
3592,rifle,rifle
3593,renunciar,give up
3594,incluyendo,including
3595,hoyo,hole
3596,español,Spanish
3597,acepta,you accept
3598,rueda,wheel
3599,municiones,ammunition
3600,ciudades,cities
3601,béisbol,baseball
3602,regresado,returned
3603,pediste,you asked
3604,ja,ha
3605,sesión,session
3606,comprender,understand
3607,tocando,playing
3608,montar,mount
3609,familiares,relatives
3610,espía,spy
3611,efectos,effects
3612,salto,jump
3613,pagó,payment
3614,impacto,impact
3615,emoción,emotion
3616,disparos,shots
3617,comando,command
3618,autorización,authorization
3619,informes,reports
3620,honestamente,honestly
3621,existencia,existence
3622,demasiada,too much
3623,coches,cars
3624,clara,clear
3625,alcanzar,attain
3626,volviste,you came back
3627,octubre,october
3628,conseguimos,we got
3629,barato,cheap
3630,apostar,bet
3631,requiere,requires
3632,importan,matter
3633,grano,grain
3634,demasiados,too many
3635,casarte,get married
3636,tráeme,bring to me
3637,progreso,progress
3638,odias,you hate
3639,ocurrir,occur
3640,hacías,you did
3641,serías,would you be
3642,secretario,secretary
3643,rusia,Russia
3644,piénsalo,think about it
3645,gatito,little cat
3646,déme,give me
3647,colección,collection
3648,vais,you go
3649,sufrido,suffered
3650,ningun,none
3651,helena,helena
3652,terror,terror
3653,salva,save
3654,salgas,go out
3655,sacarte,get you out
3656,lanza,spear
3657,usó,use
3658,quince,fifteen
3659,prometido,fiance
3660,preciso,accurate
3661,pirata,pirate
3662,moral,moral
3663,moneda,currency
3664,haberle,have him
3665,estuvieras,were you
3666,dijimos,we said
3667,cayendo,falling down
3668,bajas,low
3669,viniera,come
3670,soñando,ringing
3671,servirá,will serve
3672,moscú,Moscow
3673,mínimo,minimum
3674,hermosas,beautiful
3675,escondido,hidden
3676,demostrar,show
3677,perrito,puppy
3678,intente,try
3679,habrán,there will be
3680,experimento,experiment
3681,espaldas,backs
3682,diseño,design
3683,barra,bar
3684,anciano,old man
3685,alfombra,rug
3686,actriz,actress
3687,tono,tone
3688,sentarse,feel
3689,remedio,remedy
3690,listas,lists
3691,gris,Gray
3692,enviaron,they sent
3693,entendiste,did you understand
3694,disfrutar,to enjoy
3695,contaré,I will count
3696,comen,eat
3697,sentada,sitting
3698,pregunte,I asked for
3699,japonés,Japanese
3700,gritos,Screams
3701,dolares,Dollars
3702,asegurarme,make sure
3703,restos,remains
3704,pierdo,I lose
3705,motivos,reasons
3706,dimos,we gave
3707,campeonato,championship
3708,apúrense,hurry up
3709,unico,unique
3710,reír,laugh
3711,prima,cousin
3712,maricón,fagot
3713,actúa,act
3714,periodista,journalist
3715,luchando,struggling
3716,estelar,stellar
3717,escritor,writer
3718,encontrarás,you'll find
3719,dejando,leaving
3720,adecuado,appropriate
3721,terrorista,terrorist
3722,hierro,iron
3723,enterrado,buried
3724,sincero,sincere
3725,representa,It represents
3726,positivo,positive
3727,mereces,you deserve
3728,italia,Italy
3729,fea,ugly
3730,acerques,come closer
3731,petróleo,Petroleum
3732,encargado,duty manager
3733,capítulo,chapter
3734,enseñaré,i will teach
3735,cuentos,stories
3736,breve,brief
3737,atreves,dare
3738,súbete,get on
3739,sed,thirst
3740,patético,pathetic
3741,mostrarte,show you
3742,doctores,doctors
3743,carácter,character
3744,tuyos,yours
3745,plaza,square
3746,obispo,bishop
3747,necesite,need
3748,muevan,move
3749,involucrado,involved
3750,darán,they will give
3751,ingleses,english
3752,usas,you use
3753,ruedas,wheel
3754,prácticamente,practically
3755,orejas,ears
3756,golpeó,hit
3757,costado,side stand
3758,conducta,conduct
3759,toman,they take
3760,suban,go up
3761,médica,medical
3762,manzana,apple
3763,escuadrón,squadron
3764,reconozco,I recognize
3765,ordenes,orders
3766,gallina,chicken
3767,cambiando,Changing
3768,borde,edge
3769,ataques,attacks
3770,actual,current
3771,pecados,sins
3772,invito,I invite
3773,inconsciente,unconscious
3774,bastardos,bastards
3775,abrió,Opened
3776,oyeron,they heard
3777,intentaba,tried
3778,cuartel,barracks
3779,consciente,aware
3780,tranquilízate,calm down
3781,suyos,his
3782,residencia,home
3783,máxima,maximum
3784,llevarla,take her
3785,grasa,fat
3786,células,cells
3787,retrocedan,back off
3788,recepción,reception
3789,medicinas,medicines
3790,explotar,blow
3791,corona,crown
3792,callate,shut up
3793,calidad,quality
3794,ayúdeme,Help me
3795,asesina,murderess
3796,absurdo,absurd
3797,revés,reverse
3798,producto,product
3799,encontrarla,find her
3800,dj,DJ
3801,descansa,rest
3802,copias,do you copy
3803,apagar,to turn off
3804,profesionales,professionals
3805,práctica,practice
3806,investigando,doing research
3807,francamente,frankly
3808,afganistán,Afghanistan
3809,vecino,neighbour
3810,trozo,piece
3811,tómate,tomatoes
3812,tercero,third
3813,sirven,serving
3814,saquen,take out
3815,manual,Handbook
3816,enciende,turn on
3817,cercano,near
3818,bailando,dancing
3819,atras,back
3820,usarlo,wear it
3821,telefono,phone
3822,registros,records
3823,ponlo,put it on
3824,pasta,pasta
3825,lleguen,arrive
3826,saliste,did you go out
3827,sabrás,you will know
3828,limpieza,cleaning
3829,estadounidense,American
3830,enojada,annoyed
3831,desafortunadamente,unfortunately
3832,conoció,she met
3833,pinta,Pinta
3834,matamos,we kill
3835,funcionan,do they work
3836,cocinar,cook
3837,cima,top
3838,atractivo,attractive
3839,preguntes,ask
3840,necesitaré,i will need
3841,lleguemos,let's arrive
3842,interrumpir,interrupt
3843,haberla,have it
3844,apropiado,appropriate
3845,presentimiento,feeling
3846,intentamos,we tried
3847,finales,endings
3848,evitarlo,avoid it
3849,enviaré,i will send
3850,deporte,sport
3851,bajando,going down
3852,sucia,dirty
3853,recibimos,We received
3854,pastillas,tablets
3855,ceremonia,ceremony
3856,tina,tub
3857,muelle,dock
3858,maletas,Baggage
3859,hijas,daughters
3860,desconocido,unknown
3861,conseguiré,i will get
3862,refugio,shelter
3863,imagina,Imagine
3864,franceses,French
3865,convertirse,become
3866,arruinado,spoiled
3867,vomitar,barf
3868,pasajeros,passengers
3869,normales,normal
3870,disfraz,custom
3871,continúe,continue
3872,arreglado,fixed up
3873,aprende,learn
3874,venimos,we come
3875,tenerte,to have you
3876,seguirá,will follow
3877,razonable,reasonable
3878,puesta,put
3879,masaje,massage
3880,lágrimas,tears
3881,gustaria,would like
3882,extranjero,Foreign
3883,dejaremos,we will leave
3884,apellido,surname
3885,alguacil,sheriff
3886,temporal,temporary
3887,rompe,breaks
3888,mayo,May
3889,egoísta,selfish
3890,aceite,oil
3891,platos,plates
3892,miércoles,Wednesday
3893,indios,indians
3894,decimos,we say
3895,bolsas,bags
3896,anuncio,ad
3897,tirado,pulled
3898,notado,noticed
3899,mutantes,mutants
3900,imaginas,imagine
3901,habitaciones,bedrooms
3902,grecia,Greece
3903,entré,Come in
3904,díselo,tell her
3905,césar,cease
3906,comprado,bought
3907,cocaína,cocaine
3908,amarillo,yellow
3909,acabará,will end
3910,suceda,happen
3911,mentes,minds
3912,maldad,evil
3913,gustará,will like
3914,eliminar,remove
3915,corbata,tie
3916,atrapados,caught up
3917,sabíamos,we knew
3918,merezco,I deserve
3919,medalla,medal
3920,lograste,you achieved
3921,jaula,cage
3922,dió,it gave
3923,chofer,driver
3924,informado,informed
3925,fatal,fatal
3926,enfadado,pissed off
3927,cubierto,covered
3928,compañera,partner
3929,ronda,round
3930,cobra,cobra
3931,cantante,singer
3932,abrazo,hug
3933,tarjetas,cards
3934,sentarme,sit down
3935,refería,referred
3936,indica,indicates
3937,gravedad,gravity
3938,ganando,winning
3939,estúpidos,stupid
3940,elecciones,elections
3941,collar,necklace
3942,cincuenta,fifty
3943,programas,programs
3944,naturalmente,naturally
3945,embajada,embassy
3946,desayunar,have breakfast
3947,dejaría,would leave
3948,vigila,watch out
3949,quisieras,would you like
3950,intereses,interests
3951,agárrate,hold on
3952,aéreo,aerial
3953,traición,treason
3954,seguiré,I will continue
3955,salvajes,wild
3956,prefiere,prefer
3957,podéis,you can
3958,mueres,you die
3959,molestar,bother
3960,italiano,Italian
3961,dejarla,leave her
3962,corazones,hearts
3963,averiguarlo,figure it out
3964,ave,bird
3965,arreglarlo,fix it
3966,advierto,I warn
3967,vendiendo,selling
3968,pública,public
3969,monje,monk
3970,jugamos,we play
3971,hablarme,Talk to me
3972,escoger,choose
3973,andas,you walk
3974,ví,saw
3975,pico,peak
3976,llevé,I carried
3977,entro,I enter
3978,tenias,you had
3979,priorato,priory
3980,perdemos,we lose
3981,industria,industry
3982,cretino,cretin
3983,cafetería,Cafeteria
3984,cabaña,cabin
3985,aparecer,Appear
3986,tradición,tradition
3987,suelto,loose
3988,publicidad,advertising
3989,pares,peers
3990,oídos,ears
3991,medida,measure
3992,japoneses,japanese
3993,dieta,diet
3994,capa,layer
3995,vendrás,you will come
3996,sincronizado,synchronized
3997,historial,record
3998,guión,screenplay
3999,enano,dwarf
