Rank,French,English,POS
744,ennemi,enemy,noun
745,gamin,"kid, child (see #674)",noun
746,rendez-vous,appointment,noun
747,debout,"standing, standing up",adverb
748,obliger,to oblige,verb
749,trou,"hole, gap, deficit",noun
750,accompagner,"to go with, accompany",verb
751,fenêtre,window; languagedaily dot com,noun
752,oser,to dare,verb
753,impression,impression,noun
754,intérieur,"inside (inner surface), interrior",noun
755,bouche,mouth,noun
756,ligne,"line, course, service",noun
757,absolument,absolutely,adverb
758,doux,"soft, mild, gentle",adjective
759,regretter,,verb
760,mur,,noun
761,enfer,,noun
762,prouver,,verb
763,boîte,,noun
764,santé,,noun
765,t,,personal pronoun
766,couvrir,,verb
767,magnifique,,adjective
768,obtenir,,verb
769,cuisine,,noun
770,vue,,noun
771,terrible,,adjective
772,éviter,,verb
773,peau,,noun
774,salaud,,noun
775,conseil,,noun
776,plaisanter,,verb
777,autour,,adverb
778,vin,,noun
779,exact,,adjective
780,virer,,verb
781,supporter,,verb
782,régler,,verb
783,doigt,,noun
784,étrange,,adjective
785,grâce,,preposition
786,souhaiter,,verb
787,mission,,noun
788,créer,,verb
789,chanson,,noun
790,pote,,noun
791,surveiller,,verb
792,simplement,,adverb
793,recommencer,,verb
794,robe,,noun
795,chaud,,adjective
796,billet,,noun
797,spécial,,adjective
798,moyen,,noun
799,sympa,,adjective
800,vaisseau,,noun
801,moi-même,,personal pronoun
802,coûter,,verb
803,surprise,,noun
804,poste,,noun
805,compris,,adjective
806,anniversaire,,noun
807,signe,,noun
808,vol,,noun
809,couleur,,noun
810,image,,noun
811,parier,,verb
812,est,,noun
813,arbre,,noun
814,bière,,noun
815,mme,,noun
816,poisson,,noun
817,selon,,preposition
818,a,letter ''a'',noun
819,intérêt,,noun
820,lieutenant,,noun
821,danger,,noun
822,appartenir,,verb
823,remarquer,,verb
824,animal,,noun
825,rater,,verb
826,retirer,,verb
827,bord,,noun
828,tenter,,verb
829,liberté,,noun
830,règle,,noun
831,banque,,noun
832,merveilleux,,adjective
833,fier,,adjective
834,partager,,verb
835,classe,,noun
836,dossier,,noun
837,ressentir,,verb
838,bonheur,,noun
839,défendre,,verb
840,but,,noun
841,bande,,noun
842,l,,definite article
843,fatiguer,,verb
844,radio,,noun
845,prévoir,,verb
846,celui-là,,demonstrative pronoun
847,camarade,,noun
848,douter,,verb
849,oiseau,,noun
850,vent,,noun
851,recherche,,noun
852,apprécier,,verb
853,système,,noun
854,ferme,,noun
855,capable,,adjective
856,fuir,,verb
857,ennui,,noun
858,tante,,noun
859,héros,,noun
860,dedans,,adverb
861,excellent,,adjective
862,pitié,,noun
863,appartement,,noun
864,bosser,,verb
865,respirer,,verb
866,entier,,adjective
867,récupérer,,verb
868,douleur,,noun
869,libérer,,verb
870,sentiment,,noun
871,grand-père,,noun
872,société,,noun
873,lancer,,verb
874,nez,,noun
875,joie,,noun
876,relation,,noun
877,témoin,,noun
878,acteur,,noun
879,moitié,,noun
880,incroyable,,adjective
881,bain,,noun
882,durer,,verb
883,marché,,noun
884,laver,,verb
885,dent,,noun
886,là-dedans,,adverb
887,mademoiselle,,noun
888,adresse,,noun
889,cousin,,noun
890,riche,,adjective
891,compagnie,,noun
892,sonner,,verb
893,chaussure,,noun
894,oreille,,noun
895,grand-mère,,noun
896,ancien,,adjective
897,art,,noun
898,deviner,,verb
899,inutile,,adjective
900,ravir,,verb
901,blague,,noun
902,avenir,,noun
903,beauté,,noun
904,laisse,,noun
905,course,,noun
906,manière,,noun
907,traverser,,verb
908,expérience,,noun
909,soin,,noun
910,hors,,preposition
911,cour,,noun
912,gauche,,noun
913,stupide,,adjective
914,retenir,,verb
915,liste,,noun
916,remonter,,verb
917,réaliser,,verb
918,i,,noun
919,moquer,,verb
920,étudier,,verb
921,installer,,verb
922,courage,,noun
923,bleu,,adjective
924,secours,,noun
925,milieu,,noun
926,proposer,,verb
927,m,,noun
928,contact,,noun
929,inspecteur,,noun
930,mignon,,adjective
931,projet,,noun
932,probablement,,adverb
933,rôle,,noun
934,risque,,noun
935,action,,noun
936,ange,,noun
937,avance,,noun
938,intéressant,,adjective
939,parmi,,preposition
940,langue,,noun
941,emporter,,verb
942,thé,,noun
943,colère,,noun
944,départ,,noun
945,époque,,noun
946,engager,,verb
947,voleur,,noun
948,cesser,,verb
949,tort,,noun
950,vacance,,noun
951,là-haut,,adverb
952,machine,,noun
953,signifier,,verb
954,réparer,,verb
955,construire,,verb
956,pain,,noun
957,bar,,noun
958,chier,,verb
959,club,,noun
960,été,,noun
961,horrible,,adjective
962,profiter,,verb
963,pierre,,noun
964,pleuvoir,,verb
965,plusieurs,,indefinite adjective
966,salope,,noun
967,tel,,indefinite adjective
968,glace,,noun
969,décision,,noun
970,juge,,noun
971,contrôle,,noun
972,séparer,,verb
973,sept,,numerical adjective
974,maladie,,noun
975,quartier,,noun
976,désirer,,verb
977,travers,,noun
978,dommage,,noun
979,cigarette,,noun
980,traîner,,verb
981,respecter,,verb
982,époux,,noun
983,tas,,noun
984,enfuir,,verb
985,diriger,,verb
986,crever,,verb
987,fil,,noun
988,combat,,noun
989,poursuivre,,verb
990,morceau,,noun
991,église,,noun
992,directeur,,noun
993,demande,,noun
994,forcer,,verb
995,bombe,,noun
996,j,,noun
997,espoir,,noun
998,tueur,,noun
999,grandir,,verb
1000,dimanche,Sunday,noun
