,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
72,kwamen,"*came*
verb: come, get, come to
Ze kwamen vroeg aan. - They arrived early.",Ze kwamen vroeg aan. - They arrived early.,*came*,"[['come', 'get', 'come to', 'fly into']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=kwamen,"verb: come, get, come to"


73,excuseer,"*excuse me*
verb: excuse
Excuseer me alsjeblieft, Please excuse me.","Excuseer me alsjeblieft, Please excuse me.",*excuse me*,[['excuse']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=excuseer,verb: excuse


74,meter,"*meters*
noun: meter, measurer, gauger
De leraar meet de klas met een meter. - The teacher measures the class with a meter.",De leraar meet de klas met een meter. - The teacher measures the class with a meter.,*meters*,"[['meter', 'measurer', 'gauger', 'cummer', 'metre']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=meter,"noun: meter, measurer, gauger"


75,weinig,"*few*
adjective: little, small, wee
adverb: little, few
We hebben weinig tijd om al het werk af te maken.

We have little time to finish all the work.","We hebben weinig tijd om al het werk af te maken.

We have little time to finish all the work.",*few*,"[['little', 'small', 'wee'], ['little', 'few']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=weinig,"adjective: little, small, wee
adverb: little, few"


76,iedere,"*every*
adjective: every
pronoun: everyone
Iedere dag ben ik blij. - Every day I am happy.",Iedere dag ben ik blij. - Every day I am happy.,*every*,"[['every'], ['everyone']]",adjective pronoun,adjective pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=iedere,"adjective: every
pronoun: everyone"


77,moordenaar,"*killer*
noun: killer, murderer, assassin
De moordenaar werd veroordeeld voor zijn misdaden. - The murderer was convicted for his crimes.",De moordenaar werd veroordeeld voor zijn misdaden. - The murderer was convicted for his crimes.,*killer*,"[['killer', 'murderer', 'assassin', 'slayer', 'cutthroat', 'homicide', 'assassinator', 'slaughterer', 'Cain']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=moordenaar,"noun: killer, murderer, assassin"


78,luisteren,"*listen*
verb: listen, hear, hearken
Ik luister naar mijn favoriete muziek. - I listen to my favorite music.",Ik luister naar mijn favoriete muziek. - I listen to my favorite music.,*listen*,"[['listen', 'hear', 'hearken', 'hark', 'harken']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=luisteren,"verb: listen, hear, hearken"


79,begrijpt,"*understands*
verb: understand, grasp, comprehend
Hij begrijpt het niet. - He doesn't understand it.",Hij begrijpt het niet. - He doesn't understand it.,*understands*,"[['understand', 'grasp', 'comprehend', 'know', 'appreciate', 'see', 'realize', 'sense', 'get', 'conceive', 'apprehend', 'figure out', 'take', 'seize', 'make out', 'take in', 'savvy', 'get the message', 'twig', 'latch on to', 'include', 'contain']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=begrijpt,"verb: understand, grasp, comprehend"


80,gevaar,"*danger*
noun: danger, risk, jeopardy
Het is een gevaar om in het donker buiten te lopen. - It is a danger to walk outside in the dark.",Het is een gevaar om in het donker buiten te lopen. - It is a danger to walk outside in the dark.,*danger*,"[['danger', 'risk', 'jeopardy', 'peril', 'riskiness']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gevaar,"noun: danger, risk, jeopardy"


81,ieder,"*each*
pronoun: each, any, everyone
adjective: every, all
Ieder persoon heeft zijn eigen kwaliteiten. - Every person has their own qualities.",Ieder persoon heeft zijn eigen kwaliteiten. - Every person has their own qualities.,*each*,"[['each', 'any', 'everyone'], ['every', 'all']]",pronoun adjective,pronoun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ieder,"pronoun: each, any, everyone
adjective: every, all"


82,sommige,"*some*
adjective: some
pronoun: some
Sommige mensen hebben een grote familie. - Some people have large families.",Sommige mensen hebben een grote familie. - Some people have large families.,*some*,"[['some'], ['some']]",adjective pronoun,adjective pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=sommige,"adjective: some
pronoun: some"


83,via,"*through*
preposition: via, through, by the way of
Ik ging via de brug naar school. - I went to school via the bridge.",Ik ging via de brug naar school. - I went to school via the bridge.,*through*,"[['via', 'through', 'by the way of', 'by the route of']]",preposition,preposition,https://www.linguee.com/english-dutch/search?source=auto&query=via,"preposition: via, through, by the way of"


84,succes,"*good luck*
noun: success, luck, hit
""Succes met je examen!"" - ""Good luck with your exam!""","""Succes met je examen!"" - ""Good luck with your exam!""",*good luck*,"[['success', 'luck', 'hit', 'achievement', 'win', 'score', 'Godspeed', 'wow']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=succes,"noun: success, luck, hit"


85,vertrekken,"*to leave*
verb: leave, depart, go
noun: quarters
Ik vertrek morgen. - I am leaving tomorrow.",Ik vertrek morgen. - I am leaving tomorrow.,*to leave*,"[['leave', 'depart', 'go', 'start', 'set off', 'set out', 'go away', 'move out', 'start out', 'pull out', 'flit', 'screw up', 'screw'], ['quarters']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=vertrekken,"verb: leave, depart, go
noun: quarters"


86,muziek,"*music*
noun: music
Muziek is mijn passie. - Music is my passion.",Muziek is mijn passie. - Music is my passion.,*music*,[['music']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=muziek,noun: music


87,gestolen,"*stolen*
adjective: stolen, furtive
De auto is gestolen. - The car has been stolen.",De auto is gestolen. - The car has been stolen.,*stolen*,"[['stolen', 'furtive']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=gestolen,"adjective: stolen, furtive"


88,meest,"*most*
adjective: most
adverb: most
De meest recente uitvinding is de beste. - The most recent invention is the best.",De meest recente uitvinding is de beste. - The most recent invention is the best.,*most*,"[['most'], ['most']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=meest,"adjective: most
adverb: most"


89,hoef,"*hoof*
noun: hoof
De paard hoefde niet hard te lopen. - The horse didn't need to run fast.",De paard hoefde niet hard te lopen. - The horse didn't need to run fast.,*hoof*,[['hoof']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hoef,noun: hoof


90,advocaat,"*lawyer*
noun: lawyer, advocate, counsel
""Ik heb een advocaat nodig."" - ""I need a lawyer.""","""Ik heb een advocaat nodig."" - ""I need a lawyer.""",*lawyer*,"[['lawyer', 'advocate', 'counsel', 'barrister', 'vakeel', 'vakil']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=advocaat,"noun: lawyer, advocate, counsel"


91,kijkt,"*looks*
verb: look, see, glance
Hij kijkt naar de lucht. - He looks at the sky.",Hij kijkt naar de lucht. - He looks at the sky.,*looks*,"[['look', 'see', 'glance', 'peek', 'take a look at', 'peep']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=kijkt,"verb: look, see, glance"


92,helpt,"*helps*
verb: help, assist, aid
'Hij helpt mij met mijn huiswerk.' - He helps me with my homework.",'Hij helpt mij met mijn huiswerk.' - He helps me with my homework.,*helps*,"[['help', 'assist', 'aid', 'contribute', 'serve', 'avail', 'relieve', 'profit', 'befriend', 'play up to', 'be of use', 'second', 'give a hoist']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=helpt,"verb: help, assist, aid"


93,afspraak,"*appointment*
noun: appointment, agreement, arrangement
Ik heb een afspraak met mijn vriendin. - I have an appointment with my girlfriend.",Ik heb een afspraak met mijn vriendin. - I have an appointment with my girlfriend.,*appointment*,"[['appointment', 'agreement', 'arrangement', 'engagement', 'rendezvous', 'tryst', 'assignation', 'cahoot', 'frame-up']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=afspraak,"noun: appointment, agreement, arrangement"


94,maand,"*month*
noun: month, moon
De maand is bijna voorbij. - The month is almost over.",De maand is bijna voorbij. - The month is almost over.,*month*,"[['month', 'moon']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=maand,"noun: month, moon"


95,zwarte,"*black*
adjective: black, dark, Negro
De zwarte kat zat op de stoel. - The black cat sat on the chair.",De zwarte kat zat op de stoel. - The black cat sat on the chair.,*black*,"[['black', 'dark', 'Negro', 'sable', 'dusky']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=zwarte,"adjective: black, dark, Negro"


96,seconden,"*seconds*
noun: second
Het duurt vijf seconden. - It takes five seconds.",Het duurt vijf seconden. - It takes five seconds.,*seconds*,[['second']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=seconden,noun: second


97,sterk,"*strong*
adjective: strong, high, powerful
adverb: strong, strongly, tightly
""Hij is sterk."" - He is strong.","""Hij is sterk."" - He is strong.",*strong*,"[['strong', 'high', 'powerful', 'good', 'potent', 'intense', 'deep', 'mighty', 'loud', 'intensive', 'staunch', 'vehement', 'tenacious', 'rancid', 'chopping', 'sinewy', 'driving', 'intentional', 'nervy', 'nappy', 'tendinous', 'declivitous', 'strong-bodied', 'red-blooded'], ['strong', 'strongly', 'tightly', 'powerfully', 'vehemently', 'amain']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=sterk,"adjective: strong, high, powerful
adverb: strong, strongly, tightly"


98,foto's,"*photos*
noun: photo, photograph
""Ik heb veel foto's gemaakt."" - ""I have taken many photos.""","""Ik heb veel foto's gemaakt."" - ""I have taken many photos.""",*photos*,"[['photo', 'photograph']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=foto's,"noun: photo, photograph"


99,lijken,"*corpses*
verb: seem, appear, look
adjective: cadaveric
""Ze lijken op elkaar."" - They look alike.","""Ze lijken op elkaar."" - They look alike.",*corpses*,"[['seem', 'appear', 'look', 'resemble'], ['cadaveric']]",verb adjective,verb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=lijken,"verb: seem, appear, look
adjective: cadaveric"


